ID,SP1,SP2,SP3,SP4,SP5,SP6,SP7,SP8,Dest.Column,Dest.Row,Dest.Plate
0,,,,,,,,,1,A,1
1,1,,,,,,,,1,B,1
2,,2,,,,,,,1,C,1
3,,,3,,,,,,1,D,1
4,,,,4,,,,,1,E,1
5,,,,,5,,,,1,F,1
6,,,,,,6,,,1,G,1
7,,,,,,,7,,1,H,1
8,,,,,,,,8,2,A,1
12,1,2,,,,,,,2,B,1
13,1,,3,,,,,,2,C,1
14,1,,,4,,,,,2,D,1
15,1,,,,5,,,,2,E,1
16,1,,,,,6,,,2,F,1
17,1,,,,,,7,,2,G,1
18,1,,,,,,,8,2,H,1
23,,2,3,,,,,,3,A,1
24,,2,,4,,,,,3,B,1
25,,2,,,5,,,,3,C,1
26,,2,,,,6,,,3,D,1
27,,2,,,,,7,,3,E,1
28,,2,,,,,,8,3,F,1
34,,,3,4,,,,,3,G,1
35,,,3,,5,,,,3,H,1
36,,,3,,,6,,,4,A,1
37,,,3,,,,7,,4,B,1
38,,,3,,,,,8,4,C,1
45,,,,4,5,,,,4,D,1
46,,,,4,,6,,,4,E,1
47,,,,4,,,7,,4,F,1
48,,,,4,,,,8,4,G,1
56,,,,,5,6,,,4,H,1
57,,,,,5,,7,,5,A,1
58,,,,,5,,,8,5,B,1
67,,,,,,6,7,,5,C,1
68,,,,,,6,,8,5,D,1
78,,,,,,,7,8,5,E,1
123,1,2,3,,,,,,5,F,1
124,1,2,,4,,,,,5,G,1
125,1,2,,,5,,,,5,H,1
126,1,2,,,,6,,,6,A,1
127,1,2,,,,,7,,6,B,1
128,1,2,,,,,,8,6,C,1
134,1,,3,4,,,,,6,D,1
135,1,,3,,5,,,,6,E,1
136,1,,3,,,6,,,6,F,1
137,1,,3,,,,7,,6,G,1
138,1,,3,,,,,8,6,H,1
145,1,,,4,5,,,,7,A,1
146,1,,,4,,6,,,7,B,1
147,1,,,4,,,7,,7,C,1
148,1,,,4,,,,8,7,D,1
156,1,,,,5,6,,,7,E,1
157,1,,,,5,,7,,7,F,1
158,1,,,,5,,,8,7,G,1
167,1,,,,,6,7,,7,H,1
168,1,,,,,6,,8,8,A,1
