Copper,Nickel,Chloramphenicol,Ampicillin,Metaldehyde,Atrazine,Tebuconazole,Azoxystrobin,Dest.Column,Dest.Row,Dest.Plate
0,0,0,0,0,0,0,0,1,A,1
1,0,0,0,0,0,0,0,1,B,1
0,1,0,0,0,0,0,0,1,C,1
0,0,1,0,0,0,0,0,1,D,1
0,0,0,1,0,0,0,0,1,E,1
0,0,0,0,1,0,0,0,1,F,1
0,0,0,0,0,1,0,0,1,G,1
0,0,0,0,0,0,1,0,1,H,1
0,0,0,0,0,0,0,1,2,A,1
1,1,0,0,0,0,0,0,2,B,1
1,0,1,0,0,0,0,0,2,C,1
1,0,0,1,0,0,0,0,2,D,1
1,0,0,0,1,0,0,0,2,E,1
1,0,0,0,0,1,0,0,2,F,1
1,0,0,0,0,0,1,0,2,G,1
1,0,0,0,0,0,0,1,2,H,1
0,1,1,0,0,0,0,0,3,A,1
0,1,0,1,0,0,0,0,3,B,1
0,1,0,0,1,0,0,0,3,C,1
0,1,0,0,0,1,0,0,3,D,1
0,1,0,0,0,0,1,0,3,E,1
0,1,0,0,0,0,0,1,3,F,1
0,0,1,1,0,0,0,0,3,G,1
0,0,1,0,1,0,0,0,3,H,1
0,0,1,0,0,1,0,0,4,A,1
0,0,1,0,0,0,1,0,4,B,1
0,0,1,0,0,0,0,1,4,C,1
0,0,0,1,1,0,0,0,4,D,1
0,0,0,1,0,1,0,0,4,E,1
0,0,0,1,0,0,1,0,4,F,1
0,0,0,1,0,0,0,1,4,G,1
0,0,0,0,1,1,0,0,4,H,1
0,0,0,0,1,0,1,0,5,A,1
0,0,0,0,1,0,0,1,5,B,1
0,0,0,0,0,1,1,0,5,C,1
0,0,0,0,0,1,0,1,5,D,1
0,0,0,0,0,0,1,1,5,E,1
1,1,1,0,0,0,0,0,5,F,1
1,1,0,1,0,0,0,0,5,G,1
1,1,0,0,1,0,0,0,5,H,1
1,1,0,0,0,1,0,0,6,A,1
1,1,0,0,0,0,1,0,6,B,1
1,1,0,0,0,0,0,1,6,C,1
1,0,1,1,0,0,0,0,6,D,1
1,0,1,0,1,0,0,0,6,E,1
1,0,1,0,0,1,0,0,6,F,1
