"","max.running.average","max.slopes","well","plate"
"1","0.181","0.0294857142857143","A1","Ampicillin.csv"
"2","0.2245","0.0389142857142857","A2","Ampicillin.csv"
"3","0.238","0.0398285714285714","A3","Ampicillin.csv"
"4","0.2035","0.0356","A4","Ampicillin.csv"
"5","0.235","0.0412571428571429","A5","Ampicillin.csv"
"6","0.214","0.0405142857142857","A6","Ampicillin.csv"
"7","0.2245","0.0389142857142857","A7","Ampicillin.csv"
"8","0.1905","0.0349714285714286","A8","Ampicillin.csv"
"9","0.19","0.0344571428571429","A9","Ampicillin.csv"
"10","0.2055","0.0375428571428572","A10","Ampicillin.csv"
"11","0.2015","0.0360571428571429","A11","Ampicillin.csv"
"12","0.179","0.0294285714285714","A12","Ampicillin.csv"
"13","0.242","0.033257142857143","B1","Ampicillin.csv"
"14","0.3095","0.0282285714285714","B2","Ampicillin.csv"
"15","0.318","0.0271428571428571","B3","Ampicillin.csv"
"16","0.322","0.0282857142857143","B4","Ampicillin.csv"
"17","0.316","0.0281142857142857","B5","Ampicillin.csv"
"18","0.321","0.0279428571428572","B6","Ampicillin.csv"
"19","0.328","0.0277714285714286","B7","Ampicillin.csv"
"20","0.3245","0.0283428571428571","B8","Ampicillin.csv"
"21","0.32","0.0282285714285714","B9","Ampicillin.csv"
"22","0.357","0.0300571428571428","B10","Ampicillin.csv"
"23","0.315","0.0303428571428571","B11","Ampicillin.csv"
"24","0.2365","0.0322857142857144","B12","Ampicillin.csv"
"25","0.2425","0.0342285714285714","C1","Ampicillin.csv"
"26","0.5155","0.132628571428572","C2","Ampicillin.csv"
"27","0.5545","0.0857714285714286","C3","Ampicillin.csv"
"28","0.501","0.0937142857142858","C4","Ampicillin.csv"
"29","0.5265","0.111028571428572","C5","Ampicillin.csv"
"30","0.5695","0.110685714285714","C6","Ampicillin.csv"
"31","0.4965","0.0907428571428572","C7","Ampicillin.csv"
"32","0.509","0.088857142857143","C8","Ampicillin.csv"
"33","0.512","0.0842285714285715","C9","Ampicillin.csv"
"34","0.1695","0.0246285714285714","C10","Ampicillin.csv"
"35","0.201","0.0286857142857142","C11","Ampicillin.csv"
"36","0.158","0.0190857142857143","C12","Ampicillin.csv"
"37","0.2365","0.0258857142857143","D1","Ampicillin.csv"
"38","0.329","0.0304","D2","Ampicillin.csv"
"39","0.348","0.0330285714285714","D3","Ampicillin.csv"
"40","0.351","0.0334857142857143","D4","Ampicillin.csv"
"41","0.3385","0.0317714285714286","D5","Ampicillin.csv"
"42","0.358","0.0341714285714286","D6","Ampicillin.csv"
"43","0.351","0.0327999999999999","D7","Ampicillin.csv"
"44","0.348","0.0323428571428571","D8","Ampicillin.csv"
"45","0.364","0.0348","D9","Ampicillin.csv"
"46","0.3275","0.0314857142857144","D10","Ampicillin.csv"
"47","0.322","0.0304","D11","Ampicillin.csv"
"48","0.2505","0.0255428571428571","D12","Ampicillin.csv"
"49","0.263","0.0606857142857143","E1","Ampicillin.csv"
"50","0.5325","0.183485714285714","E2","Ampicillin.csv"
"51","0.525","0.173657142857143","E3","Ampicillin.csv"
"52","0.4475","0.125257142857143","E4","Ampicillin.csv"
"53","0.5125","0.201485714285714","E5","Ampicillin.csv"
"54","0.5185","0.144285714285714","E6","Ampicillin.csv"
"55","0.619","0.157085714285714","E7","Ampicillin.csv"
"56","0.4825","0.0868000000000001","E8","Ampicillin.csv"
"57","0.7995","0.234228571428571","E9","Ampicillin.csv"
"58","0.1055","0.0187428571428571","E10","Ampicillin.csv"
"59","0.37","0.136971428571429","E11","Ampicillin.csv"
"60","0.1605","0.0486285714285714","E12","Ampicillin.csv"
"61","0.2475","0.0401714285714286","F1","Ampicillin.csv"
