Time	T° 590	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:00:06	26.9	0.048	0.048	0.046	0.050	0.047	0.046	0.046	0.048	0.048	0.047	0.047	0.046	0.046	0.045	0.044	0.046	0.045	0.046	0.046	0.045	0.047	0.049	0.046	0.045	0.046	0.048	0.045	0.045	0.049	0.048	0.047	0.048	0.049	0.049	0.048	0.045	0.044	0.045	0.046	0.046	0.045	0.047	0.047	0.045	0.046	0.047	0.046	0.045	0.045	0.044	0.047	0.049	0.046	0.047	0.046	0.044	0.045	0.045	0.046	0.045	0.045	0.045	0.048	0.047	0.047	0.045	0.046	0.048	0.045	0.045	0.047	0.046	0.047	0.046	0.048	0.046	0.045	0.045	0.047	0.046	0.047	0.045	0.044	0.045	0.048	0.048	0.048	0.050	0.045	0.045	0.046	0.047	0.048	0.045	0.045	0.046
1:00:07	26.6	0.047	0.047	0.045	0.050	0.047	0.046	0.046	0.048	0.048	0.046	0.047	0.046	0.046	0.045	0.044	0.046	0.045	0.046	0.045	0.045	0.047	0.049	0.046	0.045	0.046	0.047	0.045	0.045	0.049	0.048	0.047	0.048	0.049	0.048	0.048	0.044	0.044	0.045	0.046	0.046	0.045	0.047	0.047	0.045	0.046	0.047	0.046	0.045	0.045	0.044	0.047	0.049	0.046	0.047	0.046	0.044	0.045	0.045	0.045	0.045	0.045	0.045	0.048	0.048	0.047	0.045	0.045	0.049	0.045	0.045	0.047	0.046	0.047	0.046	0.048	0.046	0.045	0.045	0.047	0.047	0.048	0.045	0.044	0.045	0.047	0.048	0.047	0.050	0.045	0.045	0.045	0.047	0.048	0.045	0.044	0.046
2:00:07	26.5	0.047	0.047	0.045	0.050	0.046	0.046	0.045	0.048	0.048	0.046	0.047	0.046	0.046	0.045	0.044	0.046	0.045	0.046	0.045	0.045	0.047	0.049	0.046	0.044	0.045	0.047	0.045	0.045	0.048	0.048	0.047	0.048	0.049	0.048	0.047	0.044	0.044	0.045	0.046	0.046	0.045	0.046	0.046	0.045	0.046	0.047	0.046	0.044	0.045	0.044	0.048	0.049	0.045	0.047	0.046	0.045	0.045	0.045	0.045	0.045	0.044	0.045	0.047	0.047	0.047	0.045	0.045	0.048	0.045	0.045	0.046	0.046	0.047	0.046	0.048	0.045	0.045	0.045	0.046	0.047	0.047	0.045	0.044	0.045	0.048	0.048	0.047	0.050	0.045	0.045	0.045	0.047	0.048	0.045	0.044	0.046
3:00:08	26.4	0.049	0.048	0.049	0.052	0.050	0.049	0.051	0.050	0.052	0.057	0.058	0.060	0.049	0.048	0.048	0.051	0.051	0.051	0.051	0.050	0.051	0.059	0.061	0.060	0.068	0.082	0.082	0.082	0.085	0.082	0.065	0.069	0.069	0.063	0.064	0.061	0.047	0.049	0.050	0.050	0.049	0.051	0.052	0.051	0.051	0.058	0.060	0.058	0.047	0.053	0.054	0.054	0.051	0.053	0.056	0.057	0.053	0.059	0.059	0.059	0.046	0.047	0.047	0.048	0.048	0.045	0.045	0.049	0.046	0.044	0.047	0.047	0.086	0.085	0.090	0.084	0.088	0.085	0.062	0.065	0.064	0.064	0.064	0.066	0.086	0.095	0.091	0.099	0.096	0.095	0.075	0.075	0.074	0.064	0.063	0.063
3:36:37	26.4	0.047	0.047	0.045	0.049	0.046	0.046	0.045	0.047	0.048	0.046	0.046	0.046	0.046	0.045	0.045	0.046	0.045	0.046	0.046	0.045	0.047	0.049	0.046	0.045	0.045	0.047	0.045	0.045	0.049	0.048	0.047	0.048	0.049	0.049	0.048	0.044	0.044	0.044	0.045	0.046	0.045	0.047	0.047	0.045	0.046	0.047	0.046	0.045	0.046	0.044	0.048	0.049	0.045	0.047	0.046	0.044	0.045	0.045	0.045	0.045	0.045	0.045	0.047	0.048	0.047	0.045	0.045	0.048	0.045	0.045	0.046	0.046	0.047	0.046	0.048	0.046	0.045	0.045	0.046	0.047	0.047	0.045	0.044	0.045	0.047	0.048	0.047	0.050	0.045	0.045	0.045	0.047	0.048	0.045	0.044	0.046
4:36:37	26.4	0.047	0.047	0.045	0.049	0.046	0.046	0.045	0.048	0.047	0.046	0.046	0.045	0.046	0.045	0.045	0.046	0.045	0.046	0.045	0.045	0.047	0.048	0.046	0.045	0.046	0.048	0.045	0.045	0.049	0.048	0.047	0.048	0.049	0.049	0.048	0.044	0.044	0.045	0.046	0.046	0.045	0.047	0.046	0.045	0.046	0.047	0.046	0.045	0.045	0.044	0.048	0.049	0.046	0.047	0.046	0.044	0.045	0.045	0.046	0.045	0.045	0.045	0.048	0.047	0.047	0.044	0.046	0.049	0.045	0.045	0.047	0.046	0.047	0.046	0.048	0.046	0.045	0.045	0.047	0.047	0.047	0.045	0.044	0.045	0.047	0.048	0.048	0.050	0.045	0.045	0.046	0.047	0.048	0.045	0.044	0.046
5:36:39	26.3	0.046	0.046	0.045	0.049	0.046	0.046	0.045	0.047	0.047	0.046	0.046	0.045	0.046	0.045	0.045	0.046	0.045	0.046	0.045	0.045	0.047	0.049	0.046	0.045	0.046	0.047	0.045	0.045	0.049	0.048	0.046	0.048	0.049	0.048	0.048	0.044	0.044	0.044	0.046	0.046	0.045	0.047	0.047	0.045	0.046	0.046	0.046	0.045	0.045	0.044	0.048	0.049	0.046	0.047	0.046	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.047	0.047	0.047	0.045	0.045	0.048	0.045	0.045	0.046	0.046	0.047	0.046	0.048	0.046	0.045	0.045	0.046	0.047	0.047	0.045	0.044	0.045	0.048	0.048	0.048	0.050	0.045	0.045	0.045	0.047	0.048	0.045	0.044	0.046
6:36:40	26.1	0.046	0.046	0.045	0.049	0.046	0.045	0.045	0.047	0.047	0.045	0.046	0.045	0.046	0.045	0.045	0.046	0.045	0.045	0.046	0.045	0.047	0.049	0.046	0.045	0.045	0.048	0.045	0.045	0.049	0.048	0.046	0.048	0.049	0.048	0.048	0.044	0.044	0.044	0.046	0.046	0.045	0.047	0.046	0.045	0.046	0.047	0.046	0.045	0.045	0.044	0.047	0.049	0.045	0.047	0.046	0.044	0.045	0.045	0.045	0.045	0.044	0.045	0.048	0.047	0.047	0.045	0.045	0.049	0.045	0.045	0.046	0.046	0.047	0.046	0.048	0.046	0.045	0.045	0.046	0.047	0.048	0.045	0.044	0.045	0.047	0.048	0.047	0.050	0.045	0.045	0.045	0.047	0.048	0.045	0.044	0.046
7:36:41	26.0	0.046	0.046	0.045	0.049	0.046	0.045	0.045	0.047	0.047	0.045	0.046	0.045	0.046	0.045	0.044	0.046	0.045	0.045	0.045	0.045	0.047	0.049	0.047	0.045	0.046	0.047	0.045	0.045	0.049	0.048	0.047	0.048	0.049	0.049	0.048	0.044	0.044	0.044	0.046	0.046	0.045	0.046	0.046	0.045	0.046	0.047	0.046	0.045	0.045	0.044	0.048	0.049	0.045	0.047	0.046	0.044	0.045	0.045	0.045	0.045	0.045	0.045	0.047	0.047	0.047	0.045	0.045	0.048	0.045	0.045	0.046	0.046	0.047	0.046	0.048	0.046	0.045	0.045	0.047	0.047	0.047	0.045	0.044	0.045	0.047	0.048	0.047	0.050	0.045	0.045	0.045	0.047	0.048	0.045	0.044	0.046
8:36:42	25.9	0.045	0.046	0.044	0.048	0.046	0.045	0.045	0.047	0.047	0.045	0.045	0.045	0.046	0.045	0.044	0.046	0.045	0.045	0.045	0.045	0.047	0.048	0.046	0.044	0.045	0.047	0.045	0.045	0.049	0.048	0.046	0.048	0.049	0.048	0.048	0.044	0.044	0.044	0.045	0.046	0.045	0.046	0.046	0.045	0.046	0.046	0.046	0.044	0.045	0.044	0.047	0.049	0.045	0.047	0.046	0.044	0.045	0.045	0.045	0.045	0.044	0.045	0.047	0.047	0.047	0.044	0.045	0.048	0.045	0.044	0.046	0.046	0.047	0.046	0.048	0.046	0.045	0.045	0.046	0.047	0.047	0.045	0.044	0.045	0.047	0.048	0.047	0.049	0.045	0.045	0.045	0.047	0.048	0.045	0.044	0.046
