Time,0:00:06,1:00:06,2:00:07,3:00:08,3:36:37,4:36:37,5:36:39,6:36:40,7:36:41,8:36:42,9:36:43,10:36:44,11:36:45,12:36:46,13:36:47,14:36:47,15:36:49,16:36:48,17:36:50,18:36:51,19:36:51,21:34:50,22:34:46,23:34:47,24:34:47,25:34:48,26:34:49,27:34:50,28:34:51,29:34:52,30:34:53,31:34:54,32:34:56,33:34:56,34:34:56,35:34:57,36:34:58,37:34:59,38:35:00,39:35:00,40:35:02,41:35:04,42:35:05,43:35:05,44:35:05,45:35:06,46:35:08,47:35:08,48:35:09,49:35:10,50:35:11,51:35:13,52:35:15,53:35:16,54:35:16
A1,0.049,0.05,0.049,0.046,0.097,0.098,0.099,0.101,0.104,0.108,0.114,0.122,0.134,0.154,0.177,0.198,0.219,0.24,0.256,0.265,0.271,0.263,0.255,0.266,0.255,0.259,0.257,0.257,0.26,0.264,0.262,0.266,0.265,0.264,0.265,0.262,0.262,0.262,0.262,0.263,0.262,0.263,0.264,0.267,0.265,0.266,0.266,0.263,0.263,0.264,0.265,0.264,0.266,0.261,0.259
A2,0.049,0.05,0.05,0.046,0.097,0.097,0.098,0.101,0.105,0.11,0.117,0.125,0.138,0.158,0.18,0.202,0.218,0.242,0.263,0.279,0.29,0.306,0.306,0.314,0.31,0.315,0.309,0.312,0.307,0.303,0.297,0.292,0.285,0.283,0.284,0.285,0.286,0.286,0.285,0.288,0.289,0.286,0.291,0.291,0.292,0.286,0.293,0.29,0.286,0.288,0.287,0.288,0.29,0.29,0.286
A3,0.047,0.048,0.048,0.046,0.095,0.096,0.097,0.099,0.103,0.108,0.114,0.123,0.136,0.156,0.176,0.197,0.213,0.24,0.256,0.271,0.281,0.304,0.312,0.308,0.302,0.299,0.296,0.297,0.302,0.29,0.283,0.279,0.274,0.275,0.274,0.275,0.275,0.277,0.277,0.274,0.274,0.274,0.281,0.275,0.275,0.279,0.286,0.283,0.277,0.278,0.276,0.275,0.275,0.277,0.278
A4,0.054,0.054,0.054,0.048,0.103,0.103,0.105,0.107,0.111,0.115,0.122,0.13,0.143,0.163,0.181,0.199,0.216,0.238,0.256,0.267,0.278,0.303,0.307,0.312,0.31,0.301,0.309,0.304,0.316,0.301,0.291,0.284,0.279,0.278,0.277,0.279,0.28,0.279,0.278,0.278,0.281,0.277,0.279,0.278,0.276,0.28,0.283,0.281,0.279,0.28,0.284,0.28,0.28,0.28,0.284
A5,0.049,0.049,0.049,0.053,0.104,0.105,0.106,0.108,0.112,0.116,0.122,0.13,0.142,0.162,0.183,0.207,0.226,0.256,0.275,0.287,0.297,0.316,0.312,0.297,0.285,0.274,0.282,0.276,0.285,0.264,0.268,0.267,0.268,0.265,0.267,0.265,0.264,0.265,0.264,0.265,0.266,0.267,0.271,0.271,0.27,0.269,0.272,0.272,0.27,0.271,0.273,0.275,0.272,0.273,0.272
A6,0.047,0.047,0.047,0.049,0.098,0.098,0.099,0.101,0.103,0.106,0.11,0.116,0.125,0.143,0.164,0.187,0.207,0.222,0.233,0.239,0.241,0.244,0.234,0.242,0.233,0.238,0.242,0.245,0.252,0.243,0.24,0.24,0.241,0.237,0.237,0.235,0.235,0.236,0.235,0.235,0.236,0.236,0.238,0.236,0.236,0.236,0.237,0.238,0.237,0.235,0.237,0.238,0.239,0.24,0.236
A7,0.047,0.048,0.048,0.047,0.096,0.097,0.098,0.1,0.104,0.108,0.115,0.123,0.14,0.166,0.188,0.214,0.24,0.261,0.28,0.293,0.298,0.287,0.275,0.282,0.259,0.26,0.258,0.256,0.268,0.254,0.256,0.253,0.252,0.251,0.252,0.252,0.252,0.251,0.249,0.25,0.251,0.251,0.253,0.253,0.254,0.253,0.255,0.255,0.252,0.255,0.257,0.257,0.258,0.257,0.257
A8,0.049,0.05,0.05,0.047,0.099,0.1,0.1,0.103,0.106,0.11,0.116,0.124,0.139,0.16,0.185,0.206,0.228,0.251,0.272,0.287,0.295,0.305,0.298,0.279,0.28,0.269,0.273,0.269,0.278,0.261,0.261,0.261,0.261,0.26,0.261,0.26,0.259,0.258,0.258,0.259,0.259,0.26,0.262,0.262,0.262,0.263,0.262,0.263,0.264,0.264,0.265,0.266,0.267,0.267,0.266
A9,0.049,0.05,0.05,0.046,0.098,0.098,0.1,0.102,0.106,0.11,0.117,0.126,0.142,0.164,0.188,0.212,0.232,0.254,0.268,0.286,0.297,0.314,0.298,0.284,0.271,0.261,0.268,0.264,0.272,0.262,0.263,0.26,0.262,0.26,0.262,0.26,0.261,0.26,0.26,0.262,0.263,0.264,0.265,0.265,0.265,0.263,0.262,0.265,0.265,0.266,0.267,0.267,0.268,0.267,0.268
A10,0.048,0.049,0.049,0.047,0.093,0.094,0.094,0.097,0.1,0.105,0.111,0.118,0.132,0.151,0.171,0.196,0.217,0.242,0.256,0.266,0.273,0.283,0.277,0.265,0.263,0.256,0.259,0.256,0.26,0.254,0.252,0.256,0.253,0.254,0.253,0.253,0.253,0.253,0.253,0.253,0.254,0.255,0.256,0.258,0.257,0.259,0.26,0.258,0.258,0.259,0.258,0.26,0.262,0.261,0.261
