Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
00:00:06,0.049,0.048,0.048,0.051,0.05,0.048,0.051,0.05,0.052,0.057,0.058,0.059,0.049,0.048,0.047,0.05,0.051,0.051,0.05,0.05,0.051,0.058,0.06,0.059,0.05,0.052,0.051,0.051,0.055,0.051,0.052,0.053,0.052,0.06,0.062,0.06,0.048,0.048,0.049,0.049,0.048,0.05,0.051,0.05,0.05,0.057,0.059,0.057,0.048,0.05,0.052,0.052,0.049,0.053,0.054,0.051,0.052,0.059,0.059,0.058,0.046,0.047,0.047,0.048,0.048,0.045,0.044,0.045,0.045,0.044,0.046,0.046,0.052,0.053,0.057,0.054,0.054,0.053,0.055,0.056,0.054,0.059,0.059,0.061,0.051,0.053,0.052,0.053,0.052,0.051,0.051,0.053,0.055,0.06,0.06,0.06
01:00:07,0.049,0.048,0.048,0.051,0.05,0.049,0.051,0.05,0.052,0.057,0.058,0.06,0.05,0.048,0.048,0.051,0.051,0.051,0.051,0.05,0.051,0.059,0.06,0.06,0.052,0.055,0.055,0.055,0.059,0.056,0.054,0.056,0.056,0.061,0.064,0.061,0.048,0.049,0.05,0.05,0.049,0.051,0.052,0.051,0.051,0.058,0.059,0.057,0.048,0.05,0.052,0.054,0.051,0.055,0.055,0.053,0.054,0.059,0.059,0.059,0.046,0.047,0.047,0.048,0.049,0.045,0.043,0.045,0.044,0.044,0.047,0.046,0.058,0.059,0.064,0.06,0.061,0.06,0.058,0.059,0.058,0.061,0.061,0.063,0.055,0.058,0.057,0.059,0.057,0.057,0.055,0.056,0.058,0.062,0.06,0.062
02:00:07,0.049,0.048,0.048,0.052,0.05,0.049,0.051,0.05,0.052,0.057,0.058,0.06,0.05,0.048,0.048,0.051,0.051,0.051,0.051,0.05,0.051,0.059,0.061,0.06,0.058,0.064,0.064,0.064,0.067,0.064,0.057,0.061,0.061,0.062,0.064,0.061,0.048,0.048,0.05,0.049,0.049,0.051,0.052,0.051,0.051,0.058,0.059,0.058,0.048,0.051,0.053,0.054,0.051,0.054,0.057,0.056,0.054,0.059,0.059,0.059,0.046,0.047,0.047,0.048,0.049,0.045,0.045,0.048,0.046,0.044,0.047,0.047,0.068,0.069,0.074,0.07,0.071,0.07,0.06,0.062,0.061,0.062,0.062,0.065,0.065,0.068,0.067,0.071,0.07,0.07,0.064,0.062,0.064,0.063,0.062,0.063
03:00:08,0.049,0.049,0.047,0.052,0.049,0.048,0.048,0.05,0.049,0.049,0.049,0.048,0.053,0.049,0.048,0.05,0.049,0.049,0.049,0.049,0.05,0.052,0.05,0.049,0.076,0.078,0.078,0.076,0.081,0.083,0.085,0.083,0.09,0.076,0.088,0.063,0.048,0.048,0.05,0.05,0.05,0.051,0.051,0.05,0.052,0.052,0.05,0.049,0.053,0.053,0.056,0.055,0.05,0.054,0.056,0.059,0.053,0.055,0.053,0.05,0.061,0.062,0.065,0.066,0.065,0.068,0.064,0.066,0.064,0.055,0.056,0.052,0.086,0.082,0.086,0.085,0.084,0.086,0.087,0.087,0.088,0.063,0.062,0.053,0.094,0.098,0.097,0.1,0.097,0.099,0.105,0.098,0.095,0.063,0.061,0.059
03:36:37,0.049,0.048,0.049,0.052,0.05,0.049,0.051,0.05,0.053,0.057,0.058,0.06,0.05,0.048,0.048,0.051,0.051,0.051,0.051,0.05,0.051,0.059,0.061,0.06,0.079,0.1,0.102,0.099,0.101,0.1,0.069,0.072,0.072,0.062,0.063,0.06,0.047,0.049,0.05,0.05,0.049,0.051,0.052,0.051,0.051,0.058,0.06,0.057,0.048,0.056,0.055,0.056,0.053,0.057,0.057,0.058,0.056,0.059,0.059,0.059,0.046,0.047,0.047,0.047,0.049,0.045,0.045,0.05,0.045,0.044,0.047,0.047,0.095,0.096,0.101,0.094,0.098,0.097,0.062,0.065,0.064,0.063,0.064,0.065,0.105,0.118,0.11,0.121,0.114,0.113,0.08,0.083,0.083,0.063,0.062,0.062
04:36:38,0.05,0.049,0.05,0.053,0.051,0.05,0.051,0.05,0.053,0.057,0.058,0.059,0.049,0.048,0.048,0.051,0.051,0.051,0.051,0.05,0.051,0.059,0.06,0.06,0.097,0.12,0.123,0.121,0.121,0.119,0.077,0.082,0.08,0.062,0.064,0.06,0.047,0.049,0.05,0.05,0.049,0.051,0.052,0.051,0.051,0.058,0.06,0.057,0.049,0.062,0.058,0.059,0.055,0.06,0.059,0.065,0.058,0.059,0.06,0.059,0.046,0.047,0.047,0.048,0.049,0.045,0.046,0.05,0.045,0.044,0.047,0.047,0.122,0.123,0.13,0.12,0.125,0.121,0.065,0.069,0.067,0.064,0.064,0.065,0.128,0.144,0.135,0.146,0.157,0.15,0.093,0.1,0.099,0.063,0.062,0.063
05:36:40,0.05,0.05,0.051,0.054,0.052,0.051,0.052,0.051,0.054,0.057,0.058,0.059,0.049,0.049,0.048,0.051,0.051,0.051,0.051,0.05,0.051,0.059,0.061,0.06,0.111,0.141,0.141,0.142,0.143,0.138,0.082,0.085,0.081,0.062,0.064,0.06,0.048,0.049,0.05,0.05,0.049,0.051,0.052,0.051,0.051,0.058,0.06,0.057,0.052,0.069,0.061,0.063,0.062,0.064,0.058,0.064,0.06,0.059,0.06,0.059,0.046,0.047,0.047,0.048,0.049,0.045,0.046,0.05,0.046,0.045,0.048,0.047,0.148,0.142,0.146,0.141,0.148,0.14,0.068,0.072,0.07,0.064,0.064,0.066,0.15,0.166,0.152,0.178,0.16,0.155,0.119,0.129,0.116,0.064,0.063,0.063
06:36:41,0.053,0.052,0.052,0.056,0.054,0.052,0.053,0.052,0.055,0.057,0.058,0.059,0.049,0.048,0.048,0.051,0.051,0.051,0.051,0.05,0.051,0.059,0.061,0.06,0.112,0.156,0.157,0.161,0.162,0.158,0.086,0.09,0.088,0.063,0.064,0.06,0.047,0.049,0.051,0.05,0.049,0.051,0.052,0.051,0.052,0.058,0.06,0.057,0.059,0.063,0.063,0.067,0.068,0.066,0.061,0.064,0.06,0.059,0.059,0.058,0.046,0.047,0.047,0.047,0.048,0.045,0.046,0.05,0.045,0.045,0.048,0.047,0.163,0.153,0.159,0.151,0.16,0.15,0.069,0.074,0.072,0.065,0.065,0.066,0.163,0.172,0.165,0.194,0.179,0.167,0.146,0.153,0.145,0.064,0.064,0.063
07:36:42,0.055,0.056,0.056,0.059,0.057,0.055,0.055,0.054,0.057,0.057,0.057,0.059,0.049,0.048,0.048,0.051,0.051,0.051,0.051,0.05,0.051,0.059,0.06,0.059,0.117,0.172,0.174,0.175,0.175,0.171,0.091,0.095,0.092,0.063,0.064,0.059,0.047,0.049,0.05,0.05,0.049,0.051,0.052,0.051,0.051,0.058,0.06,0.056,0.067,0.066,0.061,0.071,0.067,0.069,0.061,0.062,0.06,0.059,0.06,0.058,0.045,0.047,0.047,0.047,0.049,0.045,0.046,0.05,0.045,0.045,0.048,0.047,0.174,0.161,0.166,0.159,0.161,0.159,0.069,0.074,0.07,0.065,0.065,0.066,0.173,0.186,0.178,0.18,0.179,0.175,0.178,0.19,0.172,0.064,0.064,0.062
08:36:43,0.058,0.06,0.061,0.064,0.061,0.059,0.059,0.058,0.06,0.056,0.058,0.058,0.049,0.049,0.048,0.052,0.051,0.051,0.051,0.05,0.051,0.06,0.061,0.06,0.113,0.186,0.185,0.183,0.179,0.177,0.094,0.098,0.094,0.063,0.065,0.059,0.048,0.05,0.051,0.051,0.05,0.052,0.053,0.051,0.052,0.058,0.06,0.057,0.07,0.072,0.069,0.073,0.074,0.068,0.063,0.063,0.061,0.059,0.06,0.058,0.046,0.047,0.047,0.048,0.048,0.045,0.046,0.05,0.045,0.045,0.048,0.047,0.184,0.167,0.173,0.166,0.168,0.165,0.067,0.072,0.069,0.065,0.066,0.066,0.186,0.196,0.182,0.179,0.18,0.179,0.21,0.229,0.205,0.064,0.064,0.062
