Well,Isolate,Dilution,Cell Count,OD
A01,KUE4_10,0.2,91,0.045
A02,KUE4_10,0.2,463,0.041
A03,KUE4_10,0.2,572,0.044
A04,KUE4_10,0.1,461,0.044
A05,KUE4_10,0.1,603,0.044
A06,KUE4_10,0.1,568,0.042
A07,KUE4_10,0.02,375,0.056
A08,KUE4_10,0.02,246,0.042
A09,KUE4_10,0.02,177,0.044
A10,KUE4_10,0.01,266,0.045
A11,KUE4_10,0.01,192,0.047
A12,KUE4_10,0.01,70,0.049
B01,NUE1_1,0.2,16697,0.047
B02,NUE1_1,0.2,12892,0.05
B03,NUE1_1,0.2,14780,0.049
B04,NUE1_1,0.1,7889,0.044
B05,NUE1_1,0.1,9052,0.047
B06,NUE1_1,0.1,7174,0.045
B07,NUE1_1,0.02,1668,0.042
B08,NUE1_1,0.02,1984,0.043
B09,NUE1_1,0.02,2059,0.042
B10,NUE1_1,0.01,1279,0.047
B11,NUE1_1,0.01,1150,0.048
B12,NUE1_1,0.01,1039,0.047
C01,LUF4_5,0.2,1051,0.044
C02,LUF4_5,0.2,1238,0.043
C03,LUF4_5,0.2,1654,0.043
C04,LUF4_5,0.1,662,0.044
C05,LUF4_5,0.1,1999,0.05
C06,LUF4_5,0.1,1854,0.048
C07,LUF4_5,0.02,230,0.042
C08,LUF4_5,0.02,219,0.043
C09,LUF4_5,0.02,234,0.042
C10,LUF4_5,0.01,136,0.048
C11,LUF4_5,0.01,142,0.049
C12,LUF4_5,0.01,137,0.045
D01,NUF1_3,0.2,28,0.041
D02,NUF1_3,0.2,17,0.042
D03,NUF1_3,0.2,18,0.043
D04,NUF1_3,0.1,7,0.044
D05,NUF1_3,0.1,5,0.043
D06,NUF1_3,0.1,13,0.044
D07,NUF1_3,0.02,2,0.047
D08,NUF1_3,0.02,3,0.041
D09,NUF1_3,0.02,2,0.042
D10,NUF1_3,0.01,3,0.046
D11,NUF1_3,0.01,3,0.048
D12,NUF1_3,0.01,1,0.045
E01,KUB5_13,0.2,4,0.041
E02,KUB5_13,0.2,6,0.041
E03,KUB5_13,0.2,10,0.043
E04,KUB5_13,0.1,2,0.047
E05,KUB5_13,0.1,4,0.045
E06,KUB5_13,0.1,4,0.045
E07,KUB5_13,0.02,3,0.044
E08,KUB5_13,0.02,2,0.042
E09,KUB5_13,0.02,2,0.042
E10,KUB5_13,0.01,0,0.045
E11,KUB5_13,0.01,3,0.046
E12,KUB5_13,0.01,1,0.044
F01,KUE4_4,0.2,4915,0.043
F02,KUE4_4,0.2,7740,0.042
F03,KUE4_4,0.2,3335,0.043
F04,KUE4_4,0.1,1131,0.046
F05,KUE4_4,0.1,691,0.046
F06,KUE4_4,0.1,572,0.046
F07,KUE4_4,0.02,113,0.043
F08,KUE4_4,0.02,162,0.045
F09,KUE4_4,0.02,748,0.042
F10,KUE4_4,0.01,419,0.044
F11,KUE4_4,0.01,397,0.047
F12,KUE4_4,0.01,307,0.047
G01,OP50,0.2,609,0.042
G02,OP50,0.2,576,0.042
G03,OP50,0.2,462,0.046
G04,OP50,0.1,275,0.043
G05,OP50,0.1,291,0.047
G06,OP50,0.1,316,0.042
G07,OP50,0.02,54,0.041
G08,OP50,0.02,124,0.042
G09,OP50,0.02,109,0.042
G10,OP50,0.01,119,0.045
G11,OP50,0.01,105,0.045
G12,OP50,0.01,86,0.047
H01,SC,0.2,1454,0.046
H02,SC,0.2,1871,0.046
H03,SC,0.2,1282,0.046
H04,SC,0.1,814,0.045
H05,SC,0.1,632,0.048
H06,SC,0.1,585,0.043
H07,SC,0.02,238,0.041
H08,SC,0.02,275,0.042
H09,SC,0.02,465,0.046
H10,SC,0.01,209,0.045
H11,SC,0.01,287,0.046
H12,SC,0.01,215,0.047
A01,KUE4_10,0.002,406,0.072
A02,KUE4_10,0.002,407,0.077
A03,KUE4_10,0.002,1,0.08
A04,Control,0.1,6,0.063
A05,Control,0.1,6,0.062
A06,Control,0.1,10,0.061
A07,Control,0.01,2,0.043
A08,Control,0.01,0,0.043
A09,Control,0.01,0,0.046
B01,NUE1_1,0.002,313,0.085
B02,NUE1_1,0.002,295,0.076
B03,NUE1_1,0.002,282,0.071
B04,Control,0.1,8,0.064
B05,Control,0.1,5,0.064
B06,Control,0.1,2,0.078
B07,Control,0.01,1,0.049
B08,Control,0.01,0,0.043
B09,Control,0.01,3,0.044
C01,LUF4_5,0.002,102,0.05
C02,LUF4_5,0.002,116,0.05
C03,LUF4_5,0.002,95,0.048
C04,Control,0.1,51,0.046
C05,Control,0.1,39,0.048
C06,Control,0.1,33,0.047
C07,Control,0.01,7,0.042
C08,Control,0.01,10,0.044
C09,Control,0.01,12,0.044
D01,NUF1_3,0.002,0,0.045
D02,NUF1_3,0.002,0,0.043
D03,NUF1_3,0.002,0,0.043
D04,Control,0.1,5,0.043
D05,Control,0.1,4,0.042
D06,Control,0.1,2,0.042
D07,Control,0.01,2,0.043
D08,Control,0.01,1,0.041
D09,Control,0.01,1,0.043
E01,KUB5_13,0.002,3,0.042
E02,KUB5_13,0.002,1,0.043
E03,KUB5_13,0.002,1,0.045
E04,Control,0.1,6,0.044
E05,Control,0.1,4,0.042
E06,Control,0.1,2,0.043
E07,Control,0.01,3,0.044
E08,Control,0.01,1,0.041
E09,Control,0.01,0,0.042
F01,KUE4_4,0.002,82,0.064
F02,KUE4_4,0.002,92,0.072
F03,KUE4_4,0.002,69,0.075
F04,Control,0.1,4,0.067
F05,Control,0.1,2,0.062
F06,Control,0.1,11,0.062
F07,Control,0.01,1,0.046
F08,Control,0.01,1,0.048
F09,Control,0.01,1,0.045
G01,OP50,0.002,61,0.059
G02,OP50,0.002,40,0.061
G03,OP50,0.002,34,0.065
G04,Control,0.1,5,0.056
G05,Control,0.1,5,0.06
G06,Control,0.1,7,0.059
G07,Control,0.01,1,0.044
G08,Control,0.01,1,0.044
G09,Control,0.01,1,0.046
H01,SC,0.002,82,0.079
H02,SC,0.002,69,0.085
H03,SC,0.002,64,0.083
H04,Control,0.1,4,0.078
H05,Control,0.1,4,0.077
H06,Control,0.1,9,0.077
H07,Control,0.01,1,0.051
H08,Control,0.01,4,0.05
H09,Control,0.01,1,0.052
