Time,00:00:06,01:00:06,02:00:06,03:00:06,04:00:06,05:00:06,06:00:06,07:00:06,08:00:06,09:00:06,10:00:06,11:00:06,12:00:06,13:00:06,14:00:06,15:00:06,16:00:06,17:00:06,18:00:06,19:00:06,20:00:06,21:00:06,22:00:06,23:00:06,24:00:06,25:00:06,26:00:06,27:00:06,28:00:06,29:00:06,30:00:06,31:00:06,32:00:06,33:00:06,34:00:06,35:00:06,36:00:06,37:00:06,38:00:06,39:00:06,40:00:06,41:00:06,42:00:06,43:00:06,44:00:06,45:00:06,46:00:06,47:00:06,48:00:06
A1,0.077,0.081,0.089,0.099,0.113,0.133,0.158,0.185,0.205,0.231,0.251,0.261,0.289,0.318,0.325,0.327,0.345,0.347,0.351,0.363,0.359,0.348,0.343,0.333,0.332,0.315,0.312,0.299,0.287,0.265,0.242,0.209,0.175,0.139,0.099,0.055,0.048,0.049,0.05,0.052,0.053,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
A2,0.079,0.082,0.089,0.099,0.112,0.133,0.159,0.187,0.224,0.25,0.269,0.287,0.313,0.343,0.338,0.342,0.337,0.349,0.369,0.368,0.37,0.362,0.363,0.352,0.344,0.342,0.335,0.328,0.316,0.303,0.293,0.286,0.263,0.234,0.203,0.172,0.14,0.098,0.057,0.049,0.049,0.05,0.052,0.053,0.054,0.055,0.055,0.055,0.055
A3,0.079,0.085,0.092,0.101,0.115,0.133,0.162,0.195,0.224,0.255,0.272,0.29,0.308,0.346,0.359,0.359,0.354,0.357,0.379,0.382,0.382,0.375,0.371,0.361,0.356,0.348,0.346,0.342,0.326,0.316,0.31,0.304,0.291,0.263,0.235,0.204,0.174,0.142,0.104,0.061,0.052,0.052,0.053,0.055,0.056,0.057,0.058,0.058,0.058
A4,0.082,0.086,0.095,0.106,0.122,0.139,0.17,0.192,0.212,0.235,0.251,0.266,0.29,0.3,0.334,0.355,0.357,0.377,0.381,0.389,0.38,0.377,0.37,0.362,0.357,0.351,0.347,0.336,0.324,0.31,0.302,0.29,0.26,0.231,0.2,0.166,0.132,0.091,0.056,0.052,0.053,0.053,0.054,0.055,0.056,0.056,0.056,0.056,0.056
A5,0.047,0.047,0.048,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.048,0.047,0.048,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047
A6,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.046,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.046,0.047,0.047,0.047
A7,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045
A8,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.046,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045
A9,0.045,0.049,0.045,0.045,0.045,0.046,0.045,0.045,0.045,0.045,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.045,0.046,0.046,0.046,0.046,0.046,0.045,0.045,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.045,0.046,0.045,0.046,0.045
A10,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.046,0.045,0.045,0.045,0.045,0.045,0.046,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.046,0.045,0.045,0.045,0.045,0.045,0.045
