Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
00:00:06,0.051,0.05,0.049,0.052,0.049,0.05,0.049,0.054,0.051,0.05,0.05,0.05,0.051,0.051,0.05,0.05,0.049,0.05,0.05,0.049,0.051,0.052,0.05,0.049,0.049,0.051,0.05,0.049,0.051,0.052,0.051,0.051,0.052,0.054,0.049,0.048,0.048,0.05,0.049,0.049,0.049,0.05,0.051,0.049,0.05,0.051,0.05,0.049,0.049,0.049,0.051,0.052,0.049,0.05,0.052,0.049,0.049,0.05,0.049,0.05,0.05,0.048,0.051,0.052,0.051,0.049,0.051,0.052,0.05,0.049,0.051,0.051,0.052,0.05,0.053,0.05,0.05,0.05,0.05,0.05,0.053,0.049,0.049,0.05,0.051,0.053,0.052,0.052,0.049,0.05,0.05,0.05,0.052,0.05,0.049,0.05
16:23:01,0.162,0.163,0.108,0.2,0.169,0.124,0.1,0.125,0.157,0.165,0.147,0.156,0.141,0.156,0.203,0.208,0.203,0.157,0.167,0.165,0.204,0.217,0.207,0.199,0.185,0.137,0.196,0.239,0.24,0.146,0.147,0.204,0.235,0.222,0.244,0.225,0.186,0.148,0.224,0.256,0.309,0.177,0.144,0.212,0.188,0.208,0.197,0.243,0.217,0.14,0.252,0.327,0.22,0.213,0.164,0.223,0.225,0.233,0.255,0.248,0.255,0.138,0.274,0.298,0.24,0.147,0.145,0.232,0.236,0.23,0.252,0.145,0.286,0.152,0.259,0.256,0.167,0.174,0.165,0.262,0.253,0.257,0.28,0.14,0.174,0.119,0.184,0.186,0.1,0.122,0.13,0.166,0.212,0.177,0.179,0.126
20:23:01,0.121,0.133,0.123,0.17,0.147,0.102,0.092,0.096,0.154,0.147,0.132,0.153,0.105,0.167,0.218,0.198,0.227,0.144,0.157,0.143,0.208,0.251,0.204,0.181,0.17,0.215,0.203,0.254,0.255,0.186,0.125,0.239,0.278,0.239,0.266,0.214,0.258,0.24,0.238,0.312,0.318,0.2,0.218,0.297,0.28,0.26,0.227,0.209,0.243,0.128,0.301,0.315,0.214,0.235,0.236,0.253,0.28,0.288,0.259,0.28,0.256,0.155,0.225,0.278,0.143,0.207,0.284,0.266,0.264,0.273,0.247,0.128,0.296,0.161,0.285,0.287,0.187,0.141,0.146,0.283,0.277,0.271,0.28,0.154,0.218,0.17,0.174,0.269,0.11,0.124,0.124,0.289,0.196,0.152,0.154,0.093
24:23:02,0.192,0.171,0.113,0.148,0.16,0.105,0.093,0.093,0.159,0.144,0.132,0.145,0.115,0.137,0.219,0.212,0.218,0.122,0.179,0.122,0.216,0.194,0.23,0.199,0.161,0.216,0.239,0.285,0.268,0.236,0.188,0.304,0.267,0.271,0.285,0.232,0.293,0.294,0.259,0.308,0.326,0.208,0.274,0.288,0.291,0.288,0.272,0.269,0.392,0.264,0.325,0.317,0.273,0.251,0.27,0.302,0.361,0.322,0.284,0.364,0.381,0.142,0.32,0.318,0.28,0.265,0.208,0.33,0.279,0.28,0.275,0.261,0.345,0.162,0.377,0.322,0.232,0.159,0.167,0.324,0.342,0.326,0.309,0.269,0.239,0.218,0.244,0.377,0.102,0.116,0.113,0.35,0.395,0.207,0.307,0.108
28:23:03,0.171,0.128,0.099,0.128,0.139,0.103,0.107,0.1,0.149,0.131,0.124,0.131,0.121,0.318,0.474,0.329,0.373,0.149,0.141,0.121,0.404,0.39,0.384,0.254,0.256,0.158,0.352,0.349,0.328,0.207,0.147,0.438,0.44,0.42,0.294,0.467,0.343,0.195,0.418,0.354,0.332,0.194,0.217,0.406,0.336,0.346,0.368,0.268,0.321,0.271,0.382,0.371,0.289,0.219,0.282,0.42,0.424,0.41,0.362,0.348,0.433,0.187,0.392,0.406,0.222,0.311,0.246,0.394,0.398,0.395,0.377,0.294,0.401,0.195,0.426,0.393,0.311,0.201,0.204,0.383,0.44,0.391,0.386,0.274,0.27,0.246,0.372,0.396,0.1,0.166,0.125,0.345,0.382,0.293,0.274,0.099
32:23:04,0.223,0.11,0.096,0.105,0.109,0.097,0.098,0.121,0.129,0.116,0.127,0.117,0.15,0.354,0.425,0.462,0.486,0.131,0.168,0.131,0.478,0.478,0.533,0.276,0.283,0.305,0.424,0.492,0.48,0.171,0.15,0.438,0.464,0.471,0.454,0.422,0.446,0.172,0.427,0.495,0.471,0.186,0.173,0.446,0.407,0.462,0.441,0.415,0.467,0.19,0.486,0.463,0.477,0.267,0.168,0.437,0.457,0.447,0.448,0.51,0.461,0.196,0.452,0.419,0.249,0.273,0.272,0.464,0.464,0.448,0.469,0.228,0.431,0.213,0.41,0.409,0.328,0.225,0.236,0.408,0.41,0.381,0.417,0.339,0.295,0.252,0.339,0.377,0.103,0.218,0.159,0.306,0.394,0.292,0.312,0.1
36:23:05,0.263,0.1,0.09,0.1,0.1,0.081,0.087,0.096,0.112,0.096,0.102,0.099,0.109,0.347,0.442,0.476,0.44,0.329,0.301,0.129,0.446,0.495,0.441,0.309,0.424,0.36,0.41,0.43,0.446,0.295,0.244,0.415,0.438,0.435,0.441,0.422,0.525,0.323,0.443,0.425,0.471,0.183,0.269,0.429,0.433,0.46,0.422,0.498,0.452,0.312,0.447,0.499,0.509,0.245,0.272,0.462,0.439,0.463,0.455,0.435,0.485,0.331,0.476,0.457,0.306,0.361,0.362,0.474,0.454,0.456,0.46,0.332,0.403,0.265,0.415,0.423,0.385,0.254,0.247,0.42,0.42,0.426,0.407,0.386,0.316,0.26,0.321,0.394,0.14,0.156,0.227,0.313,0.434,0.262,0.277,0.111
40:23:07,0.317,0.103,0.081,0.097,0.103,0.089,0.083,0.107,0.112,0.104,0.103,0.106,0.101,0.332,0.47,0.468,0.437,0.335,0.266,0.146,0.45,0.449,0.521,0.26,0.481,0.327,0.404,0.437,0.44,0.319,0.251,0.422,0.459,0.43,0.444,0.467,0.449,0.354,0.458,0.442,0.446,0.292,0.33,0.456,0.44,0.462,0.422,0.47,0.505,0.352,0.465,0.505,0.484,0.334,0.346,0.446,0.451,0.448,0.475,0.409,0.541,0.322,0.477,0.445,0.354,0.334,0.38,0.459,0.46,0.474,0.474,0.282,0.451,0.364,0.487,0.475,0.413,0.33,0.352,0.49,0.496,0.459,0.489,0.324,0.299,0.265,0.346,0.389,0.1,0.146,0.147,0.312,0.407,0.274,0.265,0.089
44:23:08,0.239,0.101,0.079,0.096,0.094,0.087,0.074,0.083,0.1,0.103,0.1,0.133,0.106,0.36,0.475,0.477,0.437,0.28,0.339,0.133,0.423,0.513,0.546,0.288,0.421,0.343,0.418,0.418,0.461,0.36,0.307,0.431,0.477,0.459,0.461,0.422,0.478,0.376,0.452,0.471,0.494,0.333,0.353,0.476,0.468,0.444,0.446,0.455,0.458,0.356,0.49,0.481,0.454,0.345,0.352,0.464,0.473,0.471,0.467,0.464,0.54,0.36,0.469,0.451,0.348,0.321,0.355,0.44,0.458,0.465,0.458,0.231,0.45,0.438,0.54,0.52,0.401,0.366,0.348,0.499,0.508,0.5,0.537,0.168,0.283,0.274,0.314,0.361,0.1,0.114,0.14,0.305,0.381,0.217,0.275,0.095
48:23:09,0.128,0.096,0.076,0.09,0.098,0.077,0.076,0.086,0.101,0.101,0.109,0.101,0.09,0.352,0.499,0.468,0.469,0.273,0.256,0.139,0.471,0.522,0.503,0.237,0.208,0.317,0.435,0.423,0.454,0.347,0.317,0.485,0.464,0.449,0.417,0.444,0.441,0.32,0.48,0.451,0.444,0.305,0.333,0.468,0.44,0.462,0.478,0.406,0.42,0.341,0.473,0.474,0.489,0.338,0.343,0.484,0.471,0.476,0.479,0.432,0.548,0.36,0.479,0.479,0.344,0.356,0.342,0.492,0.465,0.446,0.469,0.23,0.33,0.27,0.569,0.477,0.408,0.277,0.282,0.529,0.523,0.46,0.503,0.153,0.247,0.29,0.299,0.334,0.093,0.106,0.113,0.221,0.285,0.156,0.191,0.085
