well,max.running.average,max.slopes,stressor,relative concentration,actual concentration (mg/ml),bacteria,Species
A1,0.181,0.029485714,Ampicillin,/10,2.00E-07,LUF4_5,L. rhizovicinus
A2,0.2245,0.038914286,Ampicillin,/10,2.00E-07,LUF4_5,L. rhizovicinus
A3,0.238,0.039828571,Ampicillin,/10,2.00E-07,LUF4_5,L. rhizovicinus
A4,0.2035,0.0356,Ampicillin,TGT,2.00E-06,LUF4_5,L. rhizovicinus
A5,0.235,0.041257143,Ampicillin,TGT,2.00E-06,LUF4_5,L. rhizovicinus
A6,0.214,0.040514286,Ampicillin,TGT,2.00E-06,LUF4_5,L. rhizovicinus
A7,0.2245,0.038914286,Ampicillin,*10,2.00E-05,LUF4_5,L. rhizovicinus
A8,0.1905,0.034971429,Ampicillin,*10,2.00E-05,LUF4_5,L. rhizovicinus
A9,0.19,0.034457143,Ampicillin,*10,2.00E-05,LUF4_5,L. rhizovicinus
A10,0.2055,0.037542857,Ampicillin,*100,2.00E-04,LUF4_5,L. rhizovicinus
A11,0.2015,0.036057143,Ampicillin,*100,2.00E-04,LUF4_5,L. rhizovicinus
A12,0.179,0.029428571,Ampicillin,*100,2.00E-04,LUF4_5,L. rhizovicinus
B1,0.242,0.033257143,Ampicillin,/10,2.00E-07,KUB5_13,V. paradoxus
B2,0.3095,0.028228571,Ampicillin,/10,2.00E-07,KUB5_13,V. paradoxus
B3,0.318,0.027142857,Ampicillin,/10,2.00E-07,KUB5_13,V. paradoxus
B4,0.322,0.028285714,Ampicillin,TGT,2.00E-06,KUB5_13,V. paradoxus
B5,0.316,0.028114286,Ampicillin,TGT,2.00E-06,KUB5_13,V. paradoxus
B6,0.321,0.027942857,Ampicillin,TGT,2.00E-06,KUB5_13,V. paradoxus
B7,0.328,0.027771429,Ampicillin,*10,2.00E-05,KUB5_13,V. paradoxus
B8,0.3245,0.028342857,Ampicillin,*10,2.00E-05,KUB5_13,V. paradoxus
B9,0.32,0.028228571,Ampicillin,*10,2.00E-05,KUB5_13,V. paradoxus
B10,0.357,0.030057143,Ampicillin,*100,2.00E-04,KUB5_13,V. paradoxus
B11,0.315,0.030342857,Ampicillin,*100,2.00E-04,KUB5_13,V. paradoxus
B12,0.2365,0.032285714,Ampicillin,*100,2.00E-04,KUB5_13,V. paradoxus
C1,0.2425,0.034228571,Ampicillin,/10,2.00E-07,NUE1_1,B. muralis
C2,0.5155,0.132628571,Ampicillin,/10,2.00E-07,NUE1_1,B. muralis
C3,0.5545,0.085771429,Ampicillin,/10,2.00E-07,NUE1_1,B. muralis
C4,0.501,0.093714286,Ampicillin,TGT,2.00E-06,NUE1_1,B. muralis
C5,0.5265,0.111028571,Ampicillin,TGT,2.00E-06,NUE1_1,B. muralis
C6,0.5695,0.110685714,Ampicillin,TGT,2.00E-06,NUE1_1,B. muralis
C7,0.4965,0.090742857,Ampicillin,*10,2.00E-05,NUE1_1,B. muralis
C8,0.509,0.088857143,Ampicillin,*10,2.00E-05,NUE1_1,B. muralis
C9,0.512,0.084228571,Ampicillin,*10,2.00E-05,NUE1_1,B. muralis
C10,0.1695,0.024628571,Ampicillin,*100,2.00E-04,NUE1_1,B. muralis
C11,0.201,0.028685714,Ampicillin,*100,2.00E-04,NUE1_1,B. muralis
C12,0.158,0.019085714,Ampicillin,*100,2.00E-04,NUE1_1,B. muralis
