Time,00:00:34,00:50:04,01:39:31,02:28:59,03:18:27,04:07:58,04:57:27,05:46:58,06:36:30,07:26:05,08:15:38,09:05:11,09:54:45,10:44:19,11:33:53,12:23:28,13:17:53,14:28:06,15:18:59,16:08:32,16:58:06,17:47:41,18:37:16,19:26:58,20:16:36,21:06:10,21:09:28,21:59:03,22:48:39,23:38:16,24:27:53,25:17:31,26:07:10,26:56:48,27:46:27,28:36:10,29:25:50,30:15:31,31:05:11,31:55:02,32:44:43,33:34:24,34:24:04,35:13:46,36:03:28,36:53:11,37:43:01,38:32:43,39:22:26,40:12:09,41:01:53,41:51:35,42:41:21,43:31:14,44:21:01,45:10:45,46:00:29,46:50:15,47:40:00,48:29:48,49:19:33,50:09:17
A1,0.045,0.045,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.045,0.045,0.046,0.045,0.045,0.046,0.046,0.045,0.045,0.048,0.048,0.048,0.047,0.047,0.048,0.047,0.047,0.047,0.047,0.046,0.047,0.047,0.047,0.047,0.048,0.047,0.046,0.046,0.045,0.048,0.046,0.046,0.047,0.046,0.047,0.046,0.046,0.046,0.046,0.046,0.045,0.046,0.043,0.042,0.042,0.041,0.042,0.043,0.043,0.046,0.048,0.051,0.053
A2,0.044,0.045,0.045,0.045,0.046,0.045,0.044,0.045,0.045,0.045,0.045,0.045,0.045,0.044,0.044,0.045,0.046,0.044,0.045,0.045,0.045,0.047,0.047,0.047,0.047,0.047,0.048,0.05,0.047,0.048,0.048,0.047,0.048,0.05,0.047,0.047,0.056,0.047,0.055,0.046,0.056,0.046,0.046,0.047,0.046,0.047,0.047,0.047,0.047,0.048,0.047,0.045,0.052,0.047,0.067,0.045,0.046,0.051,0.045,0.052,0.051,0.05
A3,0.07,0.08,0.084,0.087,0.094,0.102,0.112,0.126,0.142,0.166,0.22,0.272,0.341,0.375,0.395,0.409,0.371,0.416,0.437,0.48,0.495,0.497,0.493,0.482,0.479,0.473,0.471,0.466,0.469,0.46,0.459,0.448,0.44,0.437,0.43,0.431,0.428,0.423,0.421,0.423,0.42,0.42,0.421,0.417,0.416,0.413,0.412,0.404,0.395,0.383,0.366,0.345,0.321,0.3,0.279,0.258,0.231,0.208,0.183,0.159,0.131,0.107
A4,0.077,0.086,0.098,0.108,0.13,0.157,0.173,0.192,0.21,0.228,0.245,0.262,0.273,0.285,0.3,0.312,0.316,0.344,0.385,0.419,0.463,0.508,0.563,0.779,0.794,0.933,0.802,1.029,0.776,1.105,1.033,1.087,0.949,0.867,0.893,0.94,0.836,0.768,0.705,0.669,0.672,0.667,0.69,0.672,0.67,0.654,0.639,0.636,0.603,0.588,0.565,0.526,0.496,0.446,0.39,0.339,0.273,0.203,0.146,0.081,0.079,0.072
A5,0.111,0.135,0.161,0.193,0.224,0.253,0.283,0.321,0.362,0.403,0.447,0.491,0.539,0.589,0.643,0.699,0.819,0.825,0.908,0.96,1.004,1.019,1.041,1.088,1.103,1.148,1.181,1.133,1.182,1.188,1.195,1.224,1.246,1.28,1.289,1.311,1.328,1.312,1.337,1.337,1.32,1.288,1.269,1.199,1.139,1.009,0.923,0.854,0.75,0.675,0.618,0.604,0.565,0.509,0.486,0.452,0.389,0.338,0.285,0.228,0.158,0.098
A6,0.06,0.066,0.07,0.073,0.078,0.082,0.089,0.094,0.102,0.112,0.123,0.136,0.152,0.17,0.194,0.237,0.269,0.306,0.382,0.379,0.388,0.39,0.387,0.406,0.422,0.43,0.419,0.43,0.458,0.479,0.489,0.502,0.511,0.538,0.554,0.524,0.514,0.499,0.497,0.493,0.478,0.474,0.462,0.447,0.436,0.419,0.407,0.392,0.379,0.357,0.333,0.307,0.282,0.25,0.22,0.192,0.162,0.133,0.1,0.068,0.054,0.048
A7,0.06,0.071,0.081,0.084,0.087,0.092,0.098,0.108,0.124,0.144,0.185,0.25,0.341,0.415,0.494,0.562,0.642,0.638,0.672,0.731,0.734,0.718,0.673,0.584,0.553,0.543,0.522,0.54,0.544,0.54,0.538,0.535,0.529,0.52,0.503,0.488,0.473,0.458,0.449,0.438,0.428,0.417,0.408,0.4,0.393,0.383,0.373,0.36,0.348,0.335,0.322,0.309,0.291,0.273,0.248,0.224,0.199,0.174,0.146,0.116,0.079,0.06
A8,0.062,0.075,0.08,0.082,0.086,0.09,0.094,0.106,0.119,0.13,0.167,0.224,0.29,0.34,0.358,0.377,0.383,0.389,0.457,0.468,0.484,0.498,0.505,0.469,0.459,0.437,0.431,0.403,0.4,0.39,0.395,0.395,0.399,0.409,0.409,0.43,0.431,0.441,0.45,0.453,0.464,0.472,0.48,0.488,0.483,0.489,0.483,0.468,0.464,0.442,0.395,0.355,0.322,0.285,0.253,0.228,0.204,0.185,0.167,0.155,0.139,0.123
A9,0.055,0.059,0.06,0.062,0.064,0.067,0.069,0.074,0.079,0.085,0.092,0.105,0.121,0.131,0.145,0.164,0.168,0.192,0.199,0.204,0.209,0.218,0.219,0.229,0.241,0.237,0.221,0.225,0.223,0.214,0.211,0.205,0.201,0.197,0.193,0.195,0.188,0.188,0.177,0.174,0.166,0.163,0.157,0.155,0.15,0.144,0.139,0.13,0.125,0.121,0.116,0.109,0.103,0.097,0.089,0.087,0.079,0.072,0.066,0.059,0.053,0.045
A10,0.063,0.072,0.081,0.091,0.104,0.124,0.148,0.177,0.21,0.234,0.258,0.282,0.305,0.323,0.341,0.368,0.419,0.439,0.606,0.678,0.714,0.729,0.761,0.813,0.804,0.746,0.57,0.574,0.554,0.536,0.533,0.526,0.522,0.522,0.509,0.503,0.492,0.485,0.475,0.467,0.454,0.44,0.431,0.416,0.401,0.385,0.368,0.352,0.337,0.32,0.304,0.286,0.266,0.25,0.23,0.213,0.194,0.182,0.165,0.137,0.121,0.094
A11,0.07,0.084,0.095,0.101,0.109,0.117,0.129,0.149,0.181,0.235,0.308,0.39,0.457,0.509,0.566,0.631,0.75,0.747,0.827,0.882,0.909,0.939,0.972,1.004,1.035,1.033,1.031,1.059,1.048,1.108,1.129,1.192,1.187,1.279,1.288,1.287,1.258,1.203,1.286,1.303,1.215,1.143,1.089,0.996,0.911,0.756,0.714,0.662,0.608,0.576,0.515,0.471,0.373,0.296,0.23,0.186,0.15,0.109,0.068,0.061,0.056,0.051
A12,0.046,0.047,0.046,0.046,0.046,0.046,0.045,0.046,0.046,0.046,0.045,0.047,0.046,0.046,0.046,0.047,0.046,0.049,0.048,0.049,0.049,0.049,0.049,0.049,0.049,0.048,0.049,0.049,0.051,0.049,0.05,0.05,0.049,0.051,0.05,0.048,0.049,0.049,0.05,0.049,0.049,0.049,0.049,0.05,0.05,0.05,0.048,0.048,0.048,0.049,0.048,0.047,0.045,0.045,0.045,0.041,0.041,0.042,0.042,0.041,0.041,0.042
B1,0.049,0.048,0.048,0.048,0.049,0.05,0.048,0.048,0.048,0.05,0.047,0.047,0.048,0.048,0.05,0.051,0.048,0.048,0.05,0.049,0.05,0.052,0.051,0.05,0.05,0.051,0.049,0.051,0.05,0.048,0.052,0.051,0.051,0.052,0.051,0.049,0.052,0.052,0.053,0.052,0.052,0.052,0.051,0.052,0.051,0.051,0.049,0.048,0.048,0.053,0.05,0.048,0.045,0.047,0.045,0.044,0.042,0.046,0.044,0.045,0.044,0.044
B2,0.044,0.041,0.044,0.042,0.044,0.049,0.045,0.047,0.044,0.04,0.04,0.047,0.045,0.045,0.047,0.046,0.044,0.044,0.045,0.045,0.045,0.044,0.045,0.046,0.047,0.047,0.045,0.046,0.045,0.045,0.047,0.049,0.047,0.05,0.048,0.047,0.048,0.048,0.048,0.048,0.048,0.047,0.047,0.048,0.046,0.047,0.046,0.046,0.047,0.047,0.047,0.046,0.043,0.045,0.045,0.044,0.045,0.044,0.045,0.044,0.046,0.043
B3,0.048,0.043,0.07,0.078,0.09,0.099,0.108,0.124,0.147,0.156,0.145,0.18,0.201,0.214,0.212,0.229,0.23,0.247,0.288,0.329,0.255,0.228,0.242,0.25,0.228,0.267,0.212,0.232,0.266,0.236,0.272,0.257,0.424,0.568,0.624,0.558,0.342,0.246,0.237,0.234,0.234,0.23,0.223,0.213,0.206,0.199,0.191,0.188,0.181,0.175,0.175,0.159,0.148,0.143,0.141,0.136,0.128,0.119,0.114,0.106,0.098,0.094
B4,0.059,0.061,0.092,0.108,0.134,0.166,0.203,0.241,0.279,0.294,0.321,0.322,0.331,0.305,0.29,0.295,0.268,0.253,0.193,0.202,0.196,0.162,0.143,0.136,0.113,0.1,0.088,0.091,0.099,0.099,0.144,0.106,0.089,0.122,0.346,0.569,0.538,0.395,0.314,0.666,0.723,0.408,0.189,0.121,0.147,0.151,0.15,0.142,0.137,0.142,0.135,0.134,0.124,0.114,0.1,0.097,0.087,0.075,0.07,0.065,0.063,0.053
B5,0.095,0.105,0.149,0.171,0.193,0.227,0.261,0.307,0.35,0.393,0.416,0.454,0.493,0.53,0.57,0.615,0.694,0.703,0.797,0.864,0.915,0.94,0.951,0.931,0.844,0.705,0.667,0.676,0.683,0.688,0.694,0.698,0.706,0.71,0.715,0.715,0.719,0.718,0.716,0.717,0.717,0.712,0.709,0.703,0.692,0.683,0.67,0.659,0.639,0.62,0.601,0.584,0.568,0.552,0.54,0.527,0.511,0.494,0.48,0.467,0.446,0.423
