source.plate,source.row,source.column,destination.plate,destination.row,destination.column,vol.ul
1,A,1,1,B,1,10
1,A,4,1,C,1,10
1,A,7,1,D,1,10
1,A,10,1,E,1,10
2,A,1,1,F,1,10
2,A,4,1,G,1,10
2,A,7,1,H,1,10
2,A,10,1,A,2,10
1,A,1,1,B,2,10
1,A,4,1,B,2,10
1,A,1,1,C,2,10
1,A,7,1,C,2,10
1,A,1,1,D,2,10
1,A,10,1,D,2,10
1,A,1,1,E,2,10
2,A,1,1,E,2,10
1,A,1,1,F,2,10
2,A,4,1,F,2,10
1,A,1,1,G,2,10
2,A,7,1,G,2,10
1,A,1,1,H,2,10
2,A,10,1,H,2,10
1,A,4,1,A,3,10
1,A,7,1,A,3,10
1,A,4,1,B,3,10
1,A,10,1,B,3,10
1,A,4,1,C,3,10
2,A,1,1,C,3,10
1,A,4,1,D,3,10
2,A,4,1,D,3,10
1,A,4,1,E,3,10
2,A,7,1,E,3,10
1,A,4,1,F,3,10
2,A,10,1,F,3,10
1,A,7,1,G,3,10
1,A,10,1,G,3,10
1,A,7,1,H,3,10
2,A,1,1,H,3,10
1,A,7,1,A,4,10
2,A,4,1,A,4,10
1,A,7,1,B,4,10
2,A,7,1,B,4,10
1,A,7,1,C,4,10
2,A,10,1,C,4,10
1,A,10,1,D,4,10
2,A,1,1,D,4,10
1,A,10,1,E,4,10
2,A,4,1,E,4,10
1,A,10,1,F,4,10
2,A,7,1,F,4,10
1,A,10,1,G,4,10
2,A,10,1,G,4,10
2,A,1,1,H,4,10
2,A,4,1,H,4,10
2,A,1,1,A,5,10
2,A,7,1,A,5,10
2,A,1,1,B,5,10
2,A,10,1,B,5,10
2,A,4,1,C,5,10
2,A,7,1,C,5,10
2,A,4,1,D,5,10
2,A,10,1,D,5,10
2,A,7,1,E,5,10
2,A,10,1,E,5,10
1,A,1,1,F,5,10
1,A,4,1,F,5,10
1,A,7,1,F,5,10
1,A,1,1,G,5,10
1,A,4,1,G,5,10
1,A,10,1,G,5,10
1,A,1,1,H,5,10
1,A,4,1,H,5,10
2,A,1,1,H,5,10
1,A,1,1,A,6,10
1,A,4,1,A,6,10
2,A,4,1,A,6,10
1,A,1,1,B,6,10
1,A,4,1,B,6,10
2,A,7,1,B,6,10
1,A,1,1,C,6,10
1,A,4,1,C,6,10
2,A,10,1,C,6,10
1,A,1,1,D,6,10
1,A,7,1,D,6,10
1,A,10,1,D,6,10
1,A,1,1,E,6,10
1,A,7,1,E,6,10
2,A,1,1,E,6,10
1,A,1,1,F,6,10
1,A,7,1,F,6,10
2,A,4,1,F,6,10
1,A,1,1,G,6,10
1,A,7,1,G,6,10
2,A,7,1,G,6,10
1,A,1,1,H,6,10
1,A,7,1,H,6,10
2,A,10,1,H,6,10
1,A,1,1,A,7,10
1,A,10,1,A,7,10
2,A,1,1,A,7,10
1,A,1,1,B,7,10
1,A,10,1,B,7,10
2,A,4,1,B,7,10
1,A,1,1,C,7,10
1,A,10,1,C,7,10
2,A,7,1,C,7,10
1,A,1,1,D,7,10
1,A,10,1,D,7,10
2,A,10,1,D,7,10
1,A,1,1,E,7,10
2,A,1,1,E,7,10
2,A,4,1,E,7,10
1,A,1,1,F,7,10
2,A,1,1,F,7,10
2,A,7,1,F,7,10
1,A,1,1,G,7,10
2,A,1,1,G,7,10
2,A,10,1,G,7,10
1,A,1,1,H,7,10
2,A,4,1,H,7,10
2,A,7,1,H,7,10
1,A,1,1,A,8,10
2,A,4,1,A,8,10
2,A,10,1,A,8,10
1,A,1,1,B,8,10
2,A,7,1,B,8,10
2,A,10,1,B,8,10
1,A,4,1,C,8,10
1,A,7,1,C,8,10
1,A,10,1,C,8,10
1,A,4,1,D,8,10
1,A,7,1,D,8,10
2,A,1,1,D,8,10
1,A,4,1,E,8,10
1,A,7,1,E,8,10
2,A,4,1,E,8,10
1,A,4,1,F,8,10
1,A,7,1,F,8,10
2,A,7,1,F,8,10
1,A,4,1,G,8,10
1,A,7,1,G,8,10
2,A,10,1,G,8,10
1,A,4,1,H,8,10
1,A,10,1,H,8,10
2,A,1,1,H,8,10
1,A,4,1,A,9,10
1,A,10,1,A,9,10
2,A,4,1,A,9,10
1,A,4,1,B,9,10
1,A,10,1,B,9,10
2,A,7,1,B,9,10
1,A,4,1,C,9,10
1,A,10,1,C,9,10
2,A,10,1,C,9,10
1,A,4,1,D,9,10
2,A,1,1,D,9,10
2,A,4,1,D,9,10
1,A,4,1,E,9,10
2,A,1,1,E,9,10
2,A,7,1,E,9,10
1,A,4,1,F,9,10
2,A,1,1,F,9,10
2,A,10,1,F,9,10
1,A,4,1,G,9,10
2,A,4,1,G,9,10
2,A,7,1,G,9,10
1,A,4,1,H,9,10
2,A,4,1,H,9,10
2,A,10,1,H,9,10
1,A,4,1,A,10,10
2,A,7,1,A,10,10
2,A,10,1,A,10,10
1,A,7,1,B,10,10
1,A,10,1,B,10,10
2,A,1,1,B,10,10
1,A,7,1,C,10,10
1,A,10,1,C,10,10
2,A,4,1,C,10,10
1,A,7,1,D,10,10
1,A,10,1,D,10,10
2,A,7,1,D,10,10
1,A,7,1,E,10,10
1,A,10,1,E,10,10
2,A,10,1,E,10,10
1,A,7,1,F,10,10
2,A,1,1,F,10,10
2,A,4,1,F,10,10
1,A,7,1,G,10,10
2,A,1,1,G,10,10
2,A,7,1,G,10,10
1,A,7,1,H,10,10
2,A,1,1,H,10,10
2,A,10,1,H,10,10
1,A,7,1,A,11,10
2,A,4,1,A,11,10
2,A,7,1,A,11,10
1,A,7,1,B,11,10
2,A,4,1,B,11,10
2,A,10,1,B,11,10
1,A,7,1,C,11,10
2,A,7,1,C,11,10
2,A,10,1,C,11,10
1,A,10,1,D,11,10
2,A,1,1,D,11,10
2,A,4,1,D,11,10
1,A,10,1,E,11,10
2,A,1,1,E,11,10
2,A,7,1,E,11,10
1,A,10,1,F,11,10
2,A,1,1,F,11,10
2,A,10,1,F,11,10
1,A,10,1,G,11,10
2,A,4,1,G,11,10
2,A,7,1,G,11,10
1,A,10,1,H,11,10
2,A,4,1,H,11,10
2,A,10,1,H,11,10
1,A,10,1,A,12,10
2,A,7,1,A,12,10
2,A,10,1,A,12,10
2,A,1,1,B,12,10
2,A,4,1,B,12,10
2,A,7,1,B,12,10
2,A,1,1,C,12,10
2,A,4,1,C,12,10
2,A,10,1,C,12,10
2,A,1,1,D,12,10
2,A,7,1,D,12,10
2,A,10,1,D,12,10
2,A,4,1,E,12,10
2,A,7,1,E,12,10
2,A,10,1,E,12,10
1,A,1,1,F,12,10
1,A,4,1,F,12,10
1,A,7,1,F,12,10
1,A,10,1,F,12,10
1,A,1,1,G,12,10
1,A,4,1,G,12,10
1,A,7,1,G,12,10
2,A,1,1,G,12,10
1,A,1,1,H,12,10
1,A,4,1,H,12,10
1,A,7,1,H,12,10
2,A,4,1,H,12,10
1,A,1,2,A,1,10
1,A,4,2,A,1,10
1,A,7,2,A,1,10
2,A,7,2,A,1,10
