destination.plate,destination.row,destination.column,media.vol.ul
1,A,1,90
1,B,1,80
1,C,1,80
1,D,1,80
1,E,1,80
1,F,1,80
1,G,1,80
1,H,1,80
1,A,2,80
1,B,2,70
1,C,2,70
1,D,2,70
1,E,2,70
1,F,2,70
1,G,2,70
1,H,2,70
1,A,3,70
1,B,3,70
1,C,3,70
1,D,3,70
1,E,3,70
1,F,3,70
1,G,3,70
1,H,3,70
1,A,4,70
1,B,4,70
1,C,4,70
1,D,4,70
1,E,4,70
1,F,4,70
1,G,4,70
1,H,4,70
1,A,5,70
1,B,5,70
1,C,5,70
1,D,5,70
1,E,5,70
1,F,5,60
1,G,5,60
1,H,5,60
1,A,6,60
1,B,6,60
1,C,6,60
1,D,6,60
1,E,6,60
1,F,6,60
1,G,6,60
1,H,6,60
1,A,7,60
1,B,7,60
1,C,7,60
1,D,7,60
1,E,7,60
1,F,7,60
1,G,7,60
1,H,7,60
1,A,8,60
1,B,8,60
1,C,8,60
1,D,8,60
1,E,8,60
1,F,8,60
1,G,8,60
1,H,8,60
1,A,9,60
1,B,9,60
1,C,9,60
1,D,9,60
1,E,9,60
1,F,9,60
1,G,9,60
1,H,9,60
1,A,10,60
1,B,10,60
1,C,10,60
1,D,10,60
1,E,10,60
1,F,10,60
1,G,10,60
1,H,10,60
1,A,11,60
1,B,11,60
1,C,11,60
1,D,11,60
1,E,11,60
1,F,11,60
1,G,11,60
1,H,11,60
1,A,12,60
1,B,12,60
1,C,12,60
1,D,12,60
1,E,12,60
1,F,12,50
1,G,12,50
1,H,12,50
2,A,1,50
2,B,1,50
2,C,1,50
2,D,1,50
2,E,1,50
2,F,1,50
2,G,1,50
2,H,1,50
2,A,2,50
2,B,2,50
2,C,2,50
2,D,2,50
2,E,2,50
2,F,2,50
2,G,2,50
2,H,2,50
2,A,3,50
2,B,3,50
2,C,3,50
2,D,3,50
2,E,3,50
2,F,3,50
2,G,3,50
2,H,3,50
2,A,4,50
2,B,4,50
2,C,4,50
2,D,4,50
2,E,4,50
2,F,4,50
2,G,4,50
2,H,4,50
2,A,5,50
2,B,5,50
2,C,5,50
2,D,5,50
2,E,5,50
2,F,5,50
2,G,5,50
2,H,5,50
2,A,6,50
2,B,6,50
2,C,6,50
2,D,6,50
2,E,6,50
2,F,6,50
2,G,6,50
2,H,6,50
2,A,7,50
2,B,7,50
2,C,7,50
2,D,7,50
2,E,7,50
2,F,7,50
2,G,7,50
2,H,7,50
2,A,8,50
2,B,8,50
2,C,8,50
2,D,8,50
2,E,8,50
2,F,8,50
2,G,8,50
2,H,8,50
2,A,9,50
2,B,9,50
2,C,9,50
2,D,9,40
2,E,9,40
2,F,9,40
2,G,9,40
2,H,9,40
2,A,10,40
2,B,10,40
2,C,10,40
2,D,10,40
2,E,10,40
2,F,10,40
2,G,10,40
2,H,10,40
2,A,11,40
2,B,11,40
2,C,11,40
2,D,11,40
2,E,11,40
2,F,11,40
2,G,11,40
2,H,11,40
2,A,12,40
2,B,12,40
2,C,12,40
2,D,12,40
2,E,12,40
2,F,12,40
2,G,12,40
2,H,12,40
3,A,1,40
3,B,1,40
3,C,1,40
3,D,1,40
3,E,1,40
3,F,1,40
3,G,1,40
3,H,1,40
3,A,2,40
3,B,2,40
3,C,2,40
3,D,2,40
3,E,2,40
3,F,2,40
3,G,2,40
3,H,2,40
3,A,3,40
3,B,3,40
3,C,3,40
3,D,3,40
3,E,3,40
3,F,3,40
3,G,3,40
3,H,3,40
3,A,4,40
3,B,4,40
3,C,4,40
3,D,4,30
3,E,4,30
3,F,4,30
3,G,4,30
3,H,4,30
3,A,5,30
3,B,5,30
3,C,5,30
3,D,5,30
3,E,5,30
3,F,5,30
3,G,5,30
3,H,5,30
3,A,6,30
3,B,6,30
3,C,6,30
3,D,6,30
3,E,6,30
3,F,6,30
3,G,6,30
3,H,6,30
