destination.plate,destination.row,destination.column,vol.ul
1,F,1,10
1,E,2,10
1,C,3,10
1,H,3,10
1,D,4,10
1,H,4,10
1,A,5,10
1,B,5,10
1,H,5,10
1,E,6,10
1,A,7,10
1,E,7,10
1,F,7,10
1,G,7,10
1,D,8,10
1,H,8,10
1,D,9,10
1,E,9,10
1,F,9,10
1,B,10,10
1,F,10,10
1,G,10,10
1,H,10,10
1,D,11,10
1,E,11,10
1,F,11,10
1,B,12,10
1,C,12,10
1,D,12,10
1,G,12,10
2,C,1,10
2,G,1,10
2,H,1,10
2,A,2,10
2,E,2,10
2,A,3,10
2,B,3,10
2,C,3,10
2,G,3,10
2,H,3,10
2,A,4,10
2,E,4,10
2,F,4,10
2,G,4,10
2,A,5,10
2,E,5,10
2,F,5,10
2,G,5,10
2,C,6,10
2,D,6,10
2,E,6,10
2,A,7,10
2,B,7,10
2,C,7,10
2,E,7,10
2,F,7,10
2,G,7,10
2,C,8,10
2,D,8,10
2,E,8,10
2,G,8,10
2,H,8,10
2,A,9,10
2,C,9,10
2,D,9,10
2,H,9,10
2,A,10,10
2,B,10,10
2,F,10,10
2,G,10,10
2,H,10,10
2,D,11,10
2,E,11,10
2,F,11,10
2,H,11,10
2,A,12,10
2,B,12,10
2,F,12,10
2,G,12,10
2,H,12,10
3,B,1,10
3,C,1,10
3,D,1,10
3,F,1,10
3,G,1,10
3,H,1,10
3,A,2,10
3,E,2,10
3,F,2,10
3,G,2,10
3,A,3,10
3,B,3,10
3,C,3,10
3,E,3,10
3,F,3,10
3,G,3,10
3,H,3,10
3,B,4,10
3,C,4,10
3,D,4,10
3,E,4,10
3,F,4,10
3,B,5,10
3,C,5,10
3,D,5,10
3,F,5,10
3,G,5,10
3,H,5,10
3,B,6,10
3,C,6,10
3,D,6,10
3,E,6,10
3,G,6,10
3,H,6,10
3,A,7,10
3,B,7,10
3,C,7,10
3,E,7,10
3,F,7,10
3,G,7,10
3,H,7,10
3,A,8,10
3,B,8,10
3,D,8,10
3,E,8,10
3,F,8,10
3,G,8,10
3,H,8,10
4,F,1,10
4,E,2,10
4,C,3,10
4,H,3,10
4,D,4,10
4,H,4,10
4,A,5,10
4,B,5,10
4,H,5,10
4,E,6,10
4,A,7,10
4,E,7,10
4,F,7,10
4,G,7,10
4,D,8,10
4,H,8,10
4,D,9,10
4,E,9,10
4,F,9,10
4,B,10,10
4,F,10,10
4,G,10,10
4,H,10,10
4,D,11,10
4,E,11,10
4,F,11,10
4,B,12,10
4,C,12,10
4,D,12,10
4,G,12,10
5,C,1,10
5,G,1,10
5,H,1,10
5,A,2,10
5,E,2,10
5,A,3,10
5,B,3,10
5,C,3,10
5,G,3,10
5,H,3,10
5,A,4,10
5,E,4,10
5,F,4,10
5,G,4,10
5,A,5,10
5,E,5,10
5,F,5,10
5,G,5,10
5,C,6,10
5,D,6,10
5,E,6,10
5,A,7,10
5,B,7,10
5,C,7,10
5,E,7,10
5,F,7,10
5,G,7,10
5,C,8,10
5,D,8,10
5,E,8,10
5,G,8,10
5,H,8,10
5,A,9,10
5,C,9,10
5,D,9,10
5,H,9,10
5,A,10,10
5,B,10,10
5,F,10,10
5,G,10,10
5,H,10,10
5,D,11,10
5,E,11,10
5,F,11,10
5,H,11,10
5,A,12,10
5,B,12,10
5,F,12,10
5,G,12,10
5,H,12,10
6,B,1,10
6,C,1,10
6,D,1,10
6,F,1,10
6,G,1,10
6,H,1,10
6,A,2,10
6,E,2,10
6,F,2,10
6,G,2,10
6,A,3,10
6,B,3,10
6,C,3,10
6,E,3,10
6,F,3,10
6,G,3,10
6,H,3,10
6,B,4,10
6,C,4,10
6,D,4,10
6,E,4,10
6,F,4,10
6,B,5,10
6,C,5,10
6,D,5,10
6,F,5,10
6,G,5,10
6,H,5,10
6,B,6,10
6,C,6,10
6,D,6,10
6,E,6,10
6,G,6,10
6,H,6,10
6,A,7,10
6,B,7,10
6,C,7,10
6,E,7,10
6,F,7,10
6,G,7,10
6,H,7,10
6,A,8,10
6,B,8,10
6,D,8,10
6,E,8,10
6,F,8,10
6,G,8,10
6,H,8,10
7,F,1,10
7,E,2,10
7,C,3,10
7,H,3,10
7,D,4,10
7,H,4,10
7,A,5,10
7,B,5,10
7,H,5,10
7,E,6,10
7,A,7,10
7,E,7,10
7,F,7,10
7,G,7,10
7,D,8,10
7,H,8,10
7,D,9,10
7,E,9,10
7,F,9,10
7,B,10,10
7,F,10,10
7,G,10,10
7,H,10,10
7,D,11,10
7,E,11,10
7,F,11,10
7,B,12,10
7,C,12,10
7,D,12,10
7,G,12,10
8,C,1,10
8,G,1,10
8,H,1,10
8,A,2,10
8,E,2,10
8,A,3,10
8,B,3,10
8,C,3,10
8,G,3,10
8,H,3,10
8,A,4,10
8,E,4,10
8,F,4,10
8,G,4,10
8,A,5,10
8,E,5,10
8,F,5,10
8,G,5,10
8,C,6,10
8,D,6,10
8,E,6,10
8,A,7,10
8,B,7,10
8,C,7,10
8,E,7,10
8,F,7,10
8,G,7,10
8,C,8,10
8,D,8,10
8,E,8,10
8,G,8,10
8,H,8,10
8,A,9,10
8,C,9,10
8,D,9,10
8,H,9,10
8,A,10,10
8,B,10,10
8,F,10,10
8,G,10,10
8,H,10,10
8,D,11,10
8,E,11,10
8,F,11,10
8,H,11,10
8,A,12,10
8,B,12,10
8,F,12,10
8,G,12,10
8,H,12,10
9,B,1,10
9,C,1,10
9,D,1,10
9,F,1,10
9,G,1,10
9,H,1,10
9,A,2,10
9,E,2,10
9,F,2,10
9,G,2,10
9,A,3,10
9,B,3,10
9,C,3,10
9,E,3,10
9,F,3,10
9,G,3,10
9,H,3,10
9,B,4,10
9,C,4,10
9,D,4,10
9,E,4,10
9,F,4,10
9,B,5,10
9,C,5,10
9,D,5,10
9,F,5,10
9,G,5,10
9,H,5,10
9,B,6,10
9,C,6,10
9,D,6,10
9,E,6,10
9,G,6,10
9,H,6,10
9,A,7,10
9,B,7,10
9,C,7,10
9,E,7,10
9,F,7,10
9,G,7,10
9,H,7,10
9,A,8,10
9,B,8,10
9,D,8,10
9,E,8,10
9,F,8,10
9,G,8,10
9,H,8,10
10,F,1,10
10,E,2,10
10,C,3,10
10,H,3,10
10,D,4,10
10,H,4,10
10,A,5,10
10,B,5,10
10,H,5,10
10,E,6,10
10,A,7,10
10,E,7,10
10,F,7,10
10,G,7,10
10,D,8,10
10,H,8,10
10,D,9,10
10,E,9,10
10,F,9,10
10,B,10,10
10,F,10,10
10,G,10,10
10,H,10,10
10,D,11,10
10,E,11,10
10,F,11,10
10,B,12,10
10,C,12,10
10,D,12,10
10,G,12,10
11,C,1,10
11,G,1,10
11,H,1,10
11,A,2,10
11,E,2,10
11,A,3,10
11,B,3,10
11,C,3,10
11,G,3,10
11,H,3,10
11,A,4,10
11,E,4,10
11,F,4,10
11,G,4,10
11,A,5,10
11,E,5,10
11,F,5,10
11,G,5,10
11,C,6,10
11,D,6,10
11,E,6,10
11,A,7,10
11,B,7,10
11,C,7,10
11,E,7,10
11,F,7,10
11,G,7,10
11,C,8,10
11,D,8,10
11,E,8,10
11,G,8,10
11,H,8,10
11,A,9,10
11,C,9,10
11,D,9,10
