"","vector_combn"
"1","1"
"2","2"
"3","3"
"4","4"
"5","5"
"6","6"
"7","7"
"8","8"
"9","12"
"10","13"
"11","14"
"12","15"
"13","16"
"14","17"
"15","18"
"16","23"
"17","24"
"18","25"
"19","26"
"20","27"
"21","28"
"22","34"
"23","35"
"24","36"
"25","37"
"26","38"
"27","45"
"28","46"
"29","47"
"30","48"
"31","56"
"32","57"
"33","58"
"34","67"
"35","68"
"36","78"
"37","123"
"38","124"
"39","125"
"40","126"
"41","127"
"42","128"
"43","134"
"44","135"
"45","136"
"46","137"
"47","138"
"48","145"
"49","146"
"50","147"
"51","148"
"52","156"
"53","157"
"54","158"
"55","167"
"56","168"
"57","178"
"58","234"
"59","235"
"60","236"
"61","237"
"62","238"
"63","245"
"64","246"
"65","247"
"66","248"
"67","256"
"68","257"
"69","258"
"70","267"
"71","268"
"72","278"
"73","345"
"74","346"
"75","347"
"76","348"
"77","356"
"78","357"
"79","358"
"80","367"
"81","368"
"82","378"
"83","456"
"84","457"
"85","458"
"86","467"
"87","468"
"88","478"
"89","567"
"90","568"
"91","578"
"92","678"
"93","1234"
"94","1235"
"95","1236"
"96","1237"
"97","1238"
"98","1245"
"99","1246"
"100","1247"
"101","1248"
"102","1256"
"103","1257"
"104","1258"
"105","1267"
"106","1268"
"107","1278"
"108","1345"
"109","1346"
"110","1347"
"111","1348"
"112","1356"
"113","1357"
"114","1358"
"115","1367"
"116","1368"
"117","1378"
"118","1456"
"119","1457"
"120","1458"
"121","1467"
"122","1468"
"123","1478"
"124","1567"
"125","1568"
"126","1578"
"127","1678"
"128","2345"
"129","2346"
"130","2347"
"131","2348"
"132","2356"
"133","2357"
"134","2358"
"135","2367"
"136","2368"
"137","2378"
"138","2456"
"139","2457"
"140","2458"
"141","2467"
"142","2468"
"143","2478"
"144","2567"
"145","2568"
"146","2578"
"147","2678"
"148","3456"
"149","3457"
"150","3458"
"151","3467"
"152","3468"
"153","3478"
"154","3567"
"155","3568"
"156","3578"
"157","3678"
"158","4567"
"159","4568"
"160","4578"
"161","4678"
"162","5678"
"163","12345"
"164","12346"
"165","12347"
"166","12348"
"167","12356"
"168","12357"
"169","12358"
"170","12367"
"171","12368"
"172","12378"
"173","12456"
"174","12457"
"175","12458"
"176","12467"
"177","12468"
"178","12478"
"179","12567"
"180","12568"
"181","12578"
"182","12678"
"183","13456"
"184","13457"
"185","13458"
"186","13467"
"187","13468"
"188","13478"
"189","13567"
"190","13568"
"191","13578"
"192","13678"
"193","14567"
"194","14568"
"195","14578"
"196","14678"
"197","15678"
"198","23456"
"199","23457"
"200","23458"
"201","23467"
"202","23468"
"203","23478"
"204","23567"
"205","23568"
"206","23578"
"207","23678"
"208","24567"
"209","24568"
"210","24578"
"211","24678"
"212","25678"
"213","34567"
"214","34568"
"215","34578"
"216","34678"
"217","35678"
"218","45678"
"219","123456"
"220","123457"
"221","123458"
"222","123467"
"223","123468"
"224","123478"
"225","123567"
"226","123568"
"227","123578"
"228","123678"
"229","124567"
"230","124568"
"231","124578"
"232","124678"
"233","125678"
"234","134567"
"235","134568"
"236","134578"
"237","134678"
"238","135678"
"239","145678"
"240","234567"
"241","234568"
"242","234578"
"243","234678"
"244","235678"
"245","245678"
"246","345678"
"247","1234567"
"248","1234568"
"249","1234578"
"250","1234678"
"251","1235678"
"252","1245678"
"253","1345678"
"254","2345678"
"255","12345678"
