"","destination.plate","destination.row","destination.column","media.vol.ul"
"1","1","A","1","240"
"2","1","A","2","240"
"3","1","A","3","240"
"4","1","A","4","240"
"5","1","A","5","240"
"6","1","A","6","240"
"7","1","A","7","240"
"8","1","A","8","240"
"9","1","A","9","240"
"10","1","A","10","240"
"11","1","A","11","240"
"12","1","A","12","240"
"13","1","B","1","240"
"14","1","B","12","240"
"15","1","C","1","240"
"16","1","C","12","240"
"17","1","D","1","240"
"18","1","D","12","240"
"19","1","E","1","240"
"20","1","E","12","240"
"21","1","F","1","240"
"22","1","F","12","240"
"23","1","G","1","240"
"24","1","G","12","240"
"25","1","H","1","240"
"26","1","H","2","240"
"27","1","H","3","240"
"28","1","H","4","240"
"29","1","H","5","240"
"30","1","H","6","240"
"31","1","H","7","240"
"32","1","H","8","240"
"33","1","H","9","240"
"34","1","H","10","240"
"35","1","H","11","240"
"36","1","H","12","240"
"37","2","A","1","240"
"38","2","A","2","240"
"39","2","A","3","240"
"40","2","A","4","240"
"41","2","A","5","240"
"42","2","A","6","240"
"43","2","A","7","240"
"44","2","A","8","240"
"45","2","A","9","240"
"46","2","A","10","240"
"47","2","A","11","240"
"48","2","A","12","240"
"49","2","B","1","240"
"50","2","B","12","240"
"51","2","C","1","240"
"52","2","C","12","240"
"53","2","D","1","240"
"54","2","D","12","240"
"55","2","E","1","240"
"56","2","E","12","240"
"57","2","F","1","240"
"58","2","F","12","240"
"59","2","G","1","240"
"60","2","G","12","240"
"61","2","H","1","240"
"62","2","H","2","240"
"63","2","H","3","240"
"64","2","H","4","240"
"65","2","H","5","240"
"66","2","H","6","240"
"67","2","H","7","240"
"68","2","H","8","240"
"69","2","H","9","240"
"70","2","H","10","240"
"71","2","H","11","240"
"72","2","H","12","240"
"73","3","A","1","240"
"74","3","A","2","240"
"75","3","A","3","240"
"76","3","A","4","240"
"77","3","A","5","240"
"78","3","A","6","240"
"79","3","A","7","240"
"80","3","A","8","240"
"81","3","A","9","240"
"82","3","A","10","240"
"83","3","A","11","240"
"84","3","A","12","240"
"85","3","B","1","240"
"86","3","B","12","240"
"87","3","C","1","240"
"88","3","C","12","240"
"89","3","D","1","240"
"90","3","D","12","240"
"91","3","E","1","240"
"92","3","E","12","240"
"93","3","F","1","240"
"94","3","F","12","240"
"95","3","G","1","240"
"96","3","G","12","240"
"97","3","H","1","240"
"98","3","H","2","240"
"99","3","H","3","240"
"100","3","H","4","240"
"101","3","H","5","240"
"102","3","H","6","240"
"103","3","H","7","240"
"104","3","H","8","240"
"105","3","H","9","240"
"106","3","H","10","240"
"107","3","H","11","240"
"108","3","H","12","240"
"109","4","A","1","240"
"110","4","A","2","240"
"111","4","A","3","240"
"112","4","A","4","240"
"113","4","A","5","240"
"114","4","A","6","240"
"115","4","A","7","240"
"116","4","A","8","240"
"117","4","A","9","240"
"118","4","A","10","240"
"119","4","A","11","240"
"120","4","A","12","240"
"121","4","B","1","240"
"122","4","B","12","240"
"123","4","C","1","240"
"124","4","C","12","240"
"125","4","D","1","240"
"126","4","D","12","240"
"127","4","E","1","240"
"128","4","E","12","240"
"129","4","F","1","240"
"130","4","F","12","240"
"131","4","G","1","240"
"132","4","G","12","240"
"133","4","H","1","240"
"134","4","H","2","240"
"135","4","H","3","240"
"136","4","H","4","240"
"137","4","H","5","240"
"138","4","H","6","240"
"139","4","H","7","240"
"140","4","H","8","240"
"141","4","H","9","240"
"142","4","H","10","240"
"143","4","H","11","240"
"144","4","H","12","240"
"145","5","A","1","240"
"146","5","A","2","240"
"147","5","A","3","240"
"148","5","A","4","240"
"149","5","A","5","240"
"150","5","A","6","240"
"151","5","A","7","240"
"152","5","A","8","240"
"153","5","A","9","240"
"154","5","A","10","240"
"155","5","A","11","240"
"156","5","A","12","240"
"157","5","B","1","240"
"158","5","B","12","240"
"159","5","C","1","240"
"160","5","C","12","240"
"161","5","D","1","240"
"162","5","D","12","240"
"163","5","E","1","240"
"164","5","E","12","240"
"165","5","F","1","240"
"166","5","F","12","240"
"167","5","G","1","240"
"168","5","G","12","240"
"169","5","H","1","240"
"170","5","H","2","240"
"171","5","H","3","240"
"172","5","H","4","240"
"173","5","H","5","240"
"174","5","H","6","240"
"175","5","H","7","240"
"176","5","H","8","240"
"177","5","H","9","240"
"178","5","H","10","240"
"179","5","H","11","240"
"180","5","H","12","240"
"181","6","A","1","240"
"182","6","A","2","240"
"183","6","A","3","240"
"184","6","A","4","240"
"185","6","A","5","240"
"186","6","A","6","240"
"187","6","A","7","240"
"188","6","A","8","240"
"189","6","A","9","240"
"190","6","A","10","240"
"191","6","A","11","240"
"192","6","A","12","240"
"193","6","B","1","240"
"194","6","B","12","240"
"195","6","C","1","240"
"196","6","C","12","240"
"197","6","D","1","240"
"198","6","D","12","240"
"199","6","E","1","240"
"200","6","E","12","240"
"201","6","F","1","240"
"202","6","F","12","240"
"203","6","G","1","240"
"204","6","G","12","240"
"205","6","H","1","240"
"206","6","H","2","240"
