"","s1","s2","s3","s4","s5","s6","s7","s8"
"1",1,0,0,0,0,0,0,0
"2",0,1,0,0,0,0,0,0
"3",0,0,1,0,0,0,0,0
"4",0,0,0,1,0,0,0,0
"5",0,0,0,0,1,0,0,0
"6",0,0,0,0,0,1,0,0
"7",0,0,0,0,0,0,1,0
"8",0,0,0,0,0,0,0,1
"9",1,1,0,0,0,0,0,0
"10",1,0,1,0,0,0,0,0
"11",1,0,0,1,0,0,0,0
"12",1,0,0,0,1,0,0,0
"13",1,0,0,0,0,1,0,0
"14",1,0,0,0,0,0,1,0
"15",1,0,0,0,0,0,0,1
"16",0,1,1,0,0,0,0,0
"17",0,1,0,1,0,0,0,0
"18",0,1,0,0,1,0,0,0
"19",0,1,0,0,0,1,0,0
"20",0,1,0,0,0,0,1,0
"21",0,1,0,0,0,0,0,1
"22",0,0,1,1,0,0,0,0
"23",0,0,1,0,1,0,0,0
"24",0,0,1,0,0,1,0,0
"25",0,0,1,0,0,0,1,0
"26",0,0,1,0,0,0,0,1
"27",0,0,0,1,1,0,0,0
"28",0,0,0,1,0,1,0,0
"29",0,0,0,1,0,0,1,0
"30",0,0,0,1,0,0,0,1
"31",0,0,0,0,1,1,0,0
"32",0,0,0,0,1,0,1,0
"33",0,0,0,0,1,0,0,1
"34",0,0,0,0,0,1,1,0
"35",0,0,0,0,0,1,0,1
"36",0,0,0,0,0,0,1,1
"37",1,1,1,0,0,0,0,0
"38",1,1,0,1,0,0,0,0
"39",1,1,0,0,1,0,0,0
"40",1,1,0,0,0,1,0,0
"41",1,1,0,0,0,0,1,0
"42",1,1,0,0,0,0,0,1
"43",1,0,1,1,0,0,0,0
"44",1,0,1,0,1,0,0,0
"45",1,0,1,0,0,1,0,0
"46",1,0,1,0,0,0,1,0
"47",1,0,1,0,0,0,0,1
"48",1,0,0,1,1,0,0,0
"49",1,0,0,1,0,1,0,0
"50",1,0,0,1,0,0,1,0
"51",1,0,0,1,0,0,0,1
"52",1,0,0,0,1,1,0,0
"53",1,0,0,0,1,0,1,0
"54",1,0,0,0,1,0,0,1
"55",1,0,0,0,0,1,1,0
"56",1,0,0,0,0,1,0,1
"57",1,0,0,0,0,0,1,1
"58",0,1,1,1,0,0,0,0
"59",0,1,1,0,1,0,0,0
"60",0,1,1,0,0,1,0,0
"61",0,1,1,0,0,0,1,0
"62",0,1,1,0,0,0,0,1
"63",0,1,0,1,1,0,0,0
"64",0,1,0,1,0,1,0,0
"65",0,1,0,1,0,0,1,0
"66",0,1,0,1,0,0,0,1
"67",0,1,0,0,1,1,0,0
"68",0,1,0,0,1,0,1,0
"69",0,1,0,0,1,0,0,1
"70",0,1,0,0,0,1,1,0
"71",0,1,0,0,0,1,0,1
"72",0,1,0,0,0,0,1,1
"73",0,0,1,1,1,0,0,0
"74",0,0,1,1,0,1,0,0
"75",0,0,1,1,0,0,1,0
"76",0,0,1,1,0,0,0,1
"77",0,0,1,0,1,1,0,0
"78",0,0,1,0,1,0,1,0
"79",0,0,1,0,1,0,0,1
"80",0,0,1,0,0,1,1,0
"81",0,0,1,0,0,1,0,1
"82",0,0,1,0,0,0,1,1
"83",0,0,0,1,1,1,0,0
"84",0,0,0,1,1,0,1,0
"85",0,0,0,1,1,0,0,1
"86",0,0,0,1,0,1,1,0
"87",0,0,0,1,0,1,0,1
"88",0,0,0,1,0,0,1,1
"89",0,0,0,0,1,1,1,0
"90",0,0,0,0,1,1,0,1
"91",0,0,0,0,1,0,1,1
"92",0,0,0,0,0,1,1,1
"93",1,1,1,1,0,0,0,0
"94",1,1,1,0,1,0,0,0
"95",1,1,1,0,0,1,0,0
"96",1,1,1,0,0,0,1,0
"97",1,1,1,0,0,0,0,1
"98",1,1,0,1,1,0,0,0
"99",1,1,0,1,0,1,0,0
"100",1,1,0,1,0,0,1,0
"101",1,1,0,1,0,0,0,1
"102",1,1,0,0,1,1,0,0
"103",1,1,0,0,1,0,1,0
"104",1,1,0,0,1,0,0,1
"105",1,1,0,0,0,1,1,0
"106",1,1,0,0,0,1,0,1
"107",1,1,0,0,0,0,1,1
"108",1,0,1,1,1,0,0,0
"109",1,0,1,1,0,1,0,0
"110",1,0,1,1,0,0,1,0
"111",1,0,1,1,0,0,0,1
"112",1,0,1,0,1,1,0,0
"113",1,0,1,0,1,0,1,0
"114",1,0,1,0,1,0,0,1
"115",1,0,1,0,0,1,1,0
"116",1,0,1,0,0,1,0,1
"117",1,0,1,0,0,0,1,1
"118",1,0,0,1,1,1,0,0
"119",1,0,0,1,1,0,1,0
"120",1,0,0,1,1,0,0,1
"121",1,0,0,1,0,1,1,0
"122",1,0,0,1,0,1,0,1
"123",1,0,0,1,0,0,1,1
"124",1,0,0,0,1,1,1,0
"125",1,0,0,0,1,1,0,1
"126",1,0,0,0,1,0,1,1
"127",1,0,0,0,0,1,1,1
"128",0,1,1,1,1,0,0,0
"129",0,1,1,1,0,1,0,0
"130",0,1,1,1,0,0,1,0
"131",0,1,1,1,0,0,0,1
"132",0,1,1,0,1,1,0,0
"133",0,1,1,0,1,0,1,0
"134",0,1,1,0,1,0,0,1
"135",0,1,1,0,0,1,1,0
"136",0,1,1,0,0,1,0,1
"137",0,1,1,0,0,0,1,1
"138",0,1,0,1,1,1,0,0
"139",0,1,0,1,1,0,1,0
"140",0,1,0,1,1,0,0,1
"141",0,1,0,1,0,1,1,0
"142",0,1,0,1,0,1,0,1
"143",0,1,0,1,0,0,1,1
"144",0,1,0,0,1,1,1,0
"145",0,1,0,0,1,1,0,1
"146",0,1,0,0,1,0,1,1
"147",0,1,0,0,0,1,1,1
"148",0,0,1,1,1,1,0,0
"149",0,0,1,1,1,0,1,0
"150",0,0,1,1,1,0,0,1
"151",0,0,1,1,0,1,1,0
"152",0,0,1,1,0,1,0,1
"153",0,0,1,1,0,0,1,1
"154",0,0,1,0,1,1,1,0
"155",0,0,1,0,1,1,0,1
"156",0,0,1,0,1,0,1,1
"157",0,0,1,0,0,1,1,1
"158",0,0,0,1,1,1,1,0
"159",0,0,0,1,1,1,0,1
"160",0,0,0,1,1,0,1,1
"161",0,0,0,1,0,1,1,1
"162",0,0,0,0,1,1,1,1
"163",1,1,1,1,1,0,0,0
"164",1,1,1,1,0,1,0,0
"165",1,1,1,1,0,0,1,0
"166",1,1,1,1,0,0,0,1
